sig,ex,side,ent,stop,tgt,risk_pct,pct,R,why,sid,skey,dow,rng,ts
196933,196935,1,19771.8,19660.9,19860.519999999997,0.5608998674880274,0.4400206354504776,0.7844905320108138,target,0,202505020,4,46.0,2025-05-01 20:15:00-04:00
196963,196974,-1,19809.2,19859.0,19769.36,0.2513983401651721,-0.2600811744038087,-1.0345381526104422,stop,1,202505021,4,34.900000000001455,2025-05-02 03:45:00-04:00
196988,196996,1,20056.7,19939.6,20150.38,0.5838447999920334,0.45850015206888617,0.7853116994022081,target,2,202505022,4,90.5,2025-05-02 10:00:00-04:00
197024,197027,1,20014.9,19981.6,20041.540000000005,0.1663760498428816,-0.1749696476125432,-1.0516516516516472,stop,0,202505050,0,27.600000000002183,2025-05-04 20:15:00-04:00
197079,197082,1,19967.8,19899.0,20022.84,0.3445547331203201,0.2670299181682553,0.7750000000000209,target,2,202505052,0,67.09999999999854,2025-05-05 10:00:00-04:00
197115,197120,-1,19911.2,19943.2,19885.600000000002,0.1607135682429989,0.11993250030133062,0.7462499999999546,target,0,202505060,1,25.600000000002183,2025-05-05 20:15:00-04:00
197143,197146,-1,19841.1,19889.0,19802.78,0.2414180665386569,0.18446557902535501,0.764091858037549,target,1,202505061,1,35.79999999999927,2025-05-06 03:15:00-04:00
197169,197171,-1,19671.5,19777.7,19586.54,0.5398673207432109,-0.5486109346008221,-1.0161958568738227,stop,2,202505062,1,82.5,2025-05-06 09:45:00-04:00
197206,197214,1,19995.0,19922.8,20052.760000000002,0.3610902725681457,-0.3696924231057801,-1.0238227146814403,stop,0,202505070,2,67.40000000000146,2025-05-06 20:15:00-04:00
197234,197237,1,19924.0,19890.9,19950.48,0.16613129893594933,-0.17476410359364858,-1.0519637462235671,stop,1,202505071,2,24.899999999997817,2025-05-07 03:15:00-04:00
197260,197264,1,19853.2,19783.7,19908.8,0.35006951020490396,-0.3587331009610541,-1.024748201438849,stop,2,202505072,2,67.5,2025-05-07 09:45:00-04:00
197298,197299,-1,19850.5,19906.9,19805.379999999997,0.2841238255963399,-0.2927885947457316,-1.0304964539007084,stop,0,202505080,3,34.10000000000218,2025-05-07 20:30:00-04:00
197325,197330,1,20099.5,20056.4,20133.98,0.21443319485558618,0.16298912908281082,0.7600928074246095,target,1,202505081,3,41.099999999998545,2025-05-08 03:15:00-04:00
197351,197355,-1,20009.5,20093.5,19942.3,0.4198005947175092,0.3272445588345572,0.7795238095238182,target,2,202505082,3,76.0,2025-05-08 09:45:00-04:00
197388,197392,-1,20018.1,20061.7,19983.219999999998,0.21780288838602158,-0.22639511242326787,-1.0394495412844016,stop,0,202505090,4,27.100000000002183,2025-05-08 20:15:00-04:00
