,ret
2024-04-23,0.06803052793347039
2024-04-24,-0.020662814759505852
2024-04-25,0.012745441150689475
2024-04-26,-0.03966501568944651
2024-04-29,-0.01337834248747699
2024-04-30,0.3614041069522128
2024-05-01,0.035939896426247946
2024-05-02,0.001711907592059437
2024-05-03,0.019588403822979057
2024-05-06,0.07072004503178708
2024-05-07,-0.06624286289071146
2024-05-08,0.004386742513951842
2024-05-09,0.12968877508528784
2024-05-10,-0.04830854410070599
2024-05-13,0.028290252612028447
2024-05-14,0.04150616888225149
2024-05-15,0.09393199586482466
2024-05-16,0.03856866591322682
2024-05-17,0.0040497369169911765
2024-05-20,0.004690117891137132
2024-05-21,0.006088110251591626
2024-05-22,-0.042931795152668456
2024-05-23,-0.07885600694076644
2024-05-24,-0.01795905402201548
2024-05-27,-0.017127192381224413
2024-05-28,0.037948849367925155
2024-05-29,-0.040127118339433665
2024-05-30,-0.04602086572241436
2024-05-31,0.03241014651896354
2024-06-03,0.03217062084850323
2024-06-04,-0.021134814607187247
2024-06-05,0.07377865765659644
2024-06-06,-0.02558894199283814
2024-06-07,-0.06070041421553564
2024-06-10,0.03442587094812607
2024-06-11,-0.00033482304549157377
2024-06-12,-0.0031977590690610846
2024-06-13,-0.012330054463764945
2024-06-14,-0.01889043590672311
2024-06-17,0.029320256246910523
2024-06-18,-0.02922698078760254
2024-06-19,0.0007041088314838576
2024-06-20,0.1454731082947191
2024-06-21,0.030854259556728693
2024-06-24,0.12995742257263
2024-06-25,-0.007370344137376264
2024-06-26,-0.04288331292132865
2024-06-27,-0.09404285172070434
2024-06-28,0.05709079842343087
2024-07-01,0.023099626688465193
2024-07-02,0.09446324457445844
2024-07-03,0.05670458240439524
2024-07-04,0.0019816840244967692
2024-07-05,0.04387816682915699
2024-07-08,-0.013867696349347588
2024-07-09,0.020490561494778195
2024-07-10,0.05500951235342367
2024-07-11,-0.23294251286880427
2024-07-12,0.07090651152801697
2024-07-15,-0.022135902398724018
2024-07-16,0.23401829784491734
2024-07-17,0.001366359795354339
2024-07-18,-0.15454950021151842
2024-07-19,-0.11161083256422555
2024-07-22,-0.0982629278860801
2024-07-23,-0.000518021656557693
2024-07-24,0.5008445482989684
2024-07-25,0.08382142827509097
2024-07-26,0.0764146502320189
2024-07-29,-0.07428817248878286
2024-07-30,-0.028203413416961254
2024-07-31,0.0010002842066970455
2024-08-01,-0.26096834743549857
2024-08-02,-0.042433759298292184
2024-08-05,-0.011854055645198244
2024-08-06,-0.08810390336312558
2024-08-07,0.4274729802164631
2024-08-08,0.16264345294212373
2024-08-09,0.04462008305195632
2024-08-12,-0.01436485923207622
2024-08-13,0.27492463058062294
2024-08-14,-0.008222395068825376
2024-08-15,0.11710843878728161
2024-08-16,0.05155957098464237
2024-08-19,0.06637047576608499
2024-08-20,0.010563769512395517
2024-08-21,-0.2131652745210373
2024-08-22,0.09000107237339638
2024-08-23,-0.1412226382581171
2024-08-26,-0.042382526820615433
2024-08-27,-0.006486688507738003
2024-08-28,-0.03636621695645608
2024-08-29,-0.02291293984361141
2024-08-30,0.07965219491099254
2024-09-02,-0.010503109956617174
2024-09-03,-0.12689924581033235
2024-09-04,0.022073325672666205
2024-09-05,0.005624359695700715
2024-09-06,0.33145877562816634
2024-09-09,0.06730115120949035
2024-09-10,-0.0487457008473885
2024-09-11,0.04948304442072484
2024-09-12,0.05783956327207526
2024-09-13,-0.028735227820950414
2024-09-16,-0.012699641362334774
2024-09-17,-0.09335332185237927
2024-09-18,0.38203185877251
2024-09-19,-0.0857115462136923
2024-09-20,0.02708354696787878
2024-09-23,-0.04113522821674319
2024-09-24,0.004909819561856172
2024-09-25,-0.03093098895432062
2024-09-26,0.045167520451061156
2024-09-27,-0.045410132322295835
2024-09-30,-0.03268002771418446
2024-10-01,-0.003552074922367379
2024-10-02,0.014496741089207364
2024-10-03,-0.07078735348194796
2024-10-04,-0.08097908905799023
2024-10-07,0.025806622015037414
2024-10-08,0.03596300468452335
2024-10-09,0.13899132313952003
2024-10-10,0.008151963860859823
2024-10-11,0.11240745654603448
2024-10-14,-0.045570485198437385
2024-10-15,0.11469043983281829
2024-10-16,-0.023572517915970242
2024-10-17,0.032872414563049346
2024-10-18,-0.022996882115044116
2024-10-21,-0.19781072861756605
2024-10-22,-0.009898294872285015
2024-10-23,0.05240899506754601
2024-10-24,-0.01125851793993123
2024-10-25,-0.28361762385275957
2024-10-28,-0.01921403859953749
2024-10-29,0.013446320584000079
2024-10-30,-0.023015988899435316
2024-10-31,0.013650273458873288
2024-11-01,-0.05844408251019144
2024-11-04,-0.022468935510010623
2024-11-05,0.05323736778382999
2024-11-06,0.07020466008157154
2024-11-07,0.08524128090640415
2024-11-08,0.03590114213255516
2024-11-11,-0.09467898511704506
2024-11-12,-0.1378594767904589
2024-11-13,-0.046377561122532614
2024-11-14,-0.06327076604590604
2024-11-15,0.05138547823315556
2024-11-18,-0.011876387473799313
2024-11-19,0.02649267323036067
2024-11-20,-0.11286602409407906
2024-11-21,0.05444345864202188
2024-11-22,-0.027916742275640432
2024-11-25,-0.06708456169339717
2024-11-26,0.00015620505499358214
2024-11-27,-0.007180563476776406
2024-11-28,-9.762647082326754e-05
2024-11-29,0.00463047177183927
2024-12-02,0.06375391439738727
2024-12-03,0.058312976511568554
2024-12-04,0.03346631970044946
2024-12-05,0.05475520725280915
2024-12-06,0.05033980722128442
2024-12-09,0.018799545337365046
2024-12-10,0.01775363320929054
2024-12-11,0.018808161142169946
2024-12-12,0.06549326209632507
2024-12-13,0.02092747721536998
2024-12-16,0.16786814428235267
2024-12-17,-0.031134627659469886
2024-12-18,0.28354204763276125
2024-12-19,-0.0072299694437497645
2024-12-20,0.059220344472591634
2024-12-23,-0.035496113725611664
2024-12-24,0.11833880580199384
2024-12-26,-0.008241120102965207
2024-12-27,-0.00504434516054777
2024-12-30,0.08776950765167775
2024-12-31,0.14808167036649109
2025-01-02,-0.04524124754073795
2025-01-03,0.13007705251738327
2025-01-06,-0.10951028106347685
2025-01-07,-0.20675398049165572
2025-01-08,-0.05265681488802842
2025-01-09,-6.473184189467252e-05
2025-01-10,2.3339482103899162e-05
2025-01-13,0.001048184711868242
2025-01-14,-0.027515082677185585
2025-01-15,0.01917961925050998
2025-01-16,0.30424989093371574
2025-01-17,-0.0006769478810723633
2025-01-20,-0.04796425143146937
2025-01-21,0.07431905564069918
2025-01-22,0.008823072218695818
2025-01-23,0.09629640602912919
2025-01-24,-0.025378162581476658
2025-01-27,0.05377133323987222
2025-01-28,0.050248880244104614
2025-01-29,-0.04824255302200886
2025-01-30,-0.05241138899647002
2025-01-31,-0.33887800998083917
2025-02-03,-0.02111181238829226
2025-02-04,-0.004705151759178022
2025-02-05,0.10879605035212216
2025-02-06,-0.005790962721456905
2025-02-07,0.16965327160276758
2025-02-10,-0.023800798237808063
2025-02-11,-0.023906030356251662
2025-02-12,-0.007639295819479026
2025-02-13,0.08070471357836967
2025-02-14,0.012116219366537517
2025-02-17,0.00030111360942148706
2025-02-18,-0.09595122856066592
2025-02-19,-0.002539452228636092
2025-02-20,-0.053425230275468846
2025-02-21,-0.019967197215422935
2025-02-24,-0.012431984321966207
2025-02-25,-0.013504319915783082
2025-02-26,-0.0449128978046473
2025-02-27,0.043717978296847336
2025-02-28,-0.0701461918621155
2025-03-03,-0.016514006078449304
2025-03-04,-0.06030987497993234
2025-03-05,0.04042676441207824
2025-03-06,0.11950989848110086
2025-03-07,0.05196209455139075
2025-03-10,0.030536796672860335
2025-03-11,-0.04408336210338517
2025-03-12,-0.01660076347785694
2025-03-13,0.10478861344547014
2025-03-14,0.033768143682138985
2025-03-17,-0.028060973181867573
2025-03-18,-0.040302065391618555
2025-03-19,-0.046815663037304694
2025-03-20,0.10608966903782585
2025-03-21,-0.015960189185761826
2025-03-24,0.008380550839368298
2025-03-25,-0.008806112250098419
