time,side,reason,pts,usd,R,qty,path,action,orbBps,stopPts,tgtPts,trig,lock,regime,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
2025-06-03 10:16:00,1,cond1530,109.0,431.0,1.09,2,delay_weak,control,38.63215228255377,100.0,300.0,1.25,0.0,base,7.983179104309457,97.52719180726066,161.09314839992228,803.2894417180892,13.957356620408756,23.243801652892415,1.0,2.0,38.63215228255377,13.0,0.9510565162951535,0.30901699437494745,0.49999999999999994,-0.8660254037844387
2025-06-05 10:01:00,-1,stop,-100.0,-202.5,-1.0,1,intraday_keep,control,46.78531541192747,100.0,300.0,0.75,0.1,ct,-18.90611445984014,-27.09785335935244,-179.43463937599714,-826.71097625584,21.374576865600403,27.019514093511443,-1.0,1.0,46.78531541192747,14.0,-0.587785252292473,-0.8090169943749476,0.49999999999999994,-0.8660254037844387
2025-06-09 10:16:00,-1,cond1530,-4.75,-12.0,-0.059190031152647975,1,prior_session_reverse,h5,28.56650604954121,80.25,241.0,0.75,0.1,ct,1.9992669354573778,109.93329889729786,179.89190656023223,891.3082925058968,21.18460210708939,27.90221994953157,1.0,2.0,28.56650604954121,5.0,0.0,1.0,0.49999999999999994,-0.8660254037844387
2025-06-10 12:16:00,-1,stop,-85.75,-174.0,-1.0,1,intraday_reverse,h2cap,30.36246578682003,85.75,256.75,0.75,0.1,ct,-0.22177374642384784,41.644396935685,139.9867321812076,807.617175796651,16.335987631286297,29.06718736132019,1.0,10.0,30.36246578682003,13.0,0.9510565162951535,0.30901699437494745,0.49999999999999994,-0.8660254037844387
2025-06-11 10:31:00,-1,target,247.5,492.5,3.0,1,intraday_reverse,h2cap,29.074249465870796,82.5,247.5,0.75,0.1,ct,25.696451022343414,59.575978787844704,107.2320313893349,874.1380344186612,20.965535257957413,26.01009544382471,1.0,3.0,29.074249465870796,7.0,0.5877852522924732,-0.8090169943749473,0.49999999999999994,-0.8660254037844387
2025-06-12 10:15:00,1,close1600,17.75,66.0,0.221875,2,parent_no_condition,control,28.370051864001063,80.0,240.0,1.25,0.0,base,-22.468427984814188,-42.65120789984089,47.93256077759711,435.0788847566478,16.850193602953034,12.840238651332658,1.0,2.0,28.370051864001063,7.0,-0.587785252292473,-0.8090169943749476,0.49999999999999994,-0.8660254037844387
2025-06-13 10:30:00,-1,stop,-100.0,-202.5,-1.0,1,parent_no_condition,control,56.16600173847148,100.0,300.0,0.75,0.1,ct,111.57015664008173,-38.47902505017764,-159.01872987015952,-287.16235411766047,44.64464191894169,44.90901189030172,-1.0,3.0,56.16600173847148,8.0,-0.9510565162951536,0.30901699437494723,0.49999999999999994,-0.8660254037844387
2025-06-16 10:00:00,1,close1600,-3.25,-18.0,-0.0325,2,parent_no_condition,control,38.5817867358478,100.0,300.0,1.25,0.0,base,78.12150243989846,-112.10588638904007,-76.08321393266948,106.21090612946693,24.313453612447855,27.235286302644823,1.0,1.0,38.5817867358478,12.0,0.0,1.0,0.49999999999999994,-0.8660254037844387
2025-06-17 10:16:00,-1,cond1530,138.0,273.5,1.5290858725761773,1,prior_session_reverse,h5,32.01453393374432,90.25,271.0,0.75,0.1,ct,-37.76585171934022,126.13217041261393,41.693464327692276,240.87393133396694,17.0488361044141,32.278817996271854,1.0,2.0,32.01453393374432,5.0,0.9510565162951535,0.30901699437494745,0.49999999999999994,-0.8660254037844387
2025-06-18 10:00:00,1,stop,-91.75,-372.0,-1.0,2,rc1_direct,direct,32.72921583470633,91.75,275.75,1.25,0.0,base,19.60085531004907,-58.6789486503847,-97.27154421333539,107.50025327284752,13.964926836935732,14.909762556467587,1.0,1.0,32.72921583470633,11.0,0.5877852522924732,-0.8090169943749473,0.49999999999999994,-0.8660254037844387
2025-06-19 10:45:00,-1,stop,-92.75,-188.0,-1.0,1,parent_no_condition,control,33.38035054987665,92.75,278.5,0.75,0.1,ct,72.86908077994481,-33.76263303819016,66.29846484189072,-98.33925919258357,7.775676860404257,8.219887624002498,-1.0,4.0,33.38035054987665,14.0,-0.587785252292473,-0.8090169943749476,0.49999999999999994,-0.8660254037844387
2025-06-23 10:00:00,1,stop,-100.0,-405.0,-1.0,2,parent_no_condition,control,57.0215483198808,100.0,300.0,1.25,0.0,base,-32.86908077994477,33.76263303819016,-66.29846484189072,98.33925919258357,28.250599361649975,18.664222808351116,1.0,1.0,57.0215483198808,13.0,0.0,1.0,0.49999999999999994,-0.8660254037844387
2025-06-24 10:45:00,1,cond1530,86.5,341.0,1.0267062314540059,2,parent_no_condition,control,29.621178045221665,84.25,253.25,1.25,0.0,base,89.23134832331314,144.88358772195787,-21.982634823144444,198.83476729218864,14.34131840474695,17.660673738248978,1.0,4.0,29.621178045221665,5.0,0.9510565162951535,0.30901699437494745,0.49999999999999994,-0.8660254037844387
