n,net,R,pf,win,dd,top5,R_is,R_oos,n_oos,stop_share,sumR_stop,sumR_tgt,sumR_1530,sumR_1600,stop,tgt,trig,cond
344,4863.5,0.07278460840222319,1.143273777083855,0.4331395348837209,-3629.5,2.5050889277269457,0.043348326106000645,0.11176779306478819,148,0.563953488372093,-165.60682145117875,125.50063616526614,45.617410104358754,19.52668047191866,1.0,3.0,2.0,True
344,5146.0,0.08339870766862854,1.1513373623303484,0.45348837209302323,-3488.5,2.3373493975903616,0.058332235317907856,0.11659484672769115,148,0.5668604651162791,-166.60682145117875,129.75063616526614,0.0,65.54534072392086,1.0,3.0,2.0,False
344,5001.5,0.06487929940354561,1.1400195968645017,0.39244186046511625,-3821.0,2.4557632710186943,0.01735060110840117,0.12782271065927744,148,0.5145348837209303,-177.0,128.50063616526614,48.688621226472065,22.1292216030815,1.0,3.0,off,True
344,5074.5,0.07147742401403559,1.1403113421445557,0.4127906976744186,-3749.0,2.3843728446152332,0.02856941462318255,0.12830154455867882,148,0.5261627906976745,-181.0,135.75063616526614,0.0,69.8375976955621,1.0,3.0,off,False
343,9503.5,0.12277988212437571,1.3265134336562907,0.40233236151603496,-3500.5,1.3831746198768875,0.09366284508346967,0.16114354579313703,148,0.6005830903790087,-148.5071235659824,92.01750863306249,78.8722559136027,19.730858587978094,1.0,4.0,0.75,True
343,9022.0,0.12808202671083735,1.3097948321744355,0.4227405247813411,-3237.5,1.4082243405009975,0.1103396318908734,0.15145883069660065,148,0.6064139941690962,-149.5071235659824,93.6850086330625,0.0,99.75425009473715,1.0,4.0,0.75,False
343,6766.0,0.09788721610054607,1.2066269659489999,0.4110787172011662,-3203.0,1.9428022465267514,0.0763124332323046,0.12631345028505345,148,0.5830903790087464,-160.60682145117877,95.35250863306251,79.12506196626188,19.704565974341737,1.0,4.0,1.25,True
343,6246.0,0.10261602757849626,1.19061279296875,0.4314868804664723,-3060.5,2.034101825168108,0.0919807418026856,0.11662873518851705,148,0.5889212827988338,-161.60682145117877,97.02000863306247,0.0,99.78411027754052,1.0,4.0,1.25,False
343,5265.5,0.08205679109878558,1.152111740235729,0.4198250728862974,-3654.5,2.4964390846073496,0.05801240094597094,0.11373689974607516,148,0.5714285714285714,-167.60682145117875,95.35250863306251,79.04588566568384,21.35390649931592,1.0,4.0,2.0,True
343,4717.5,0.08637516424781212,1.1360804223036316,0.4402332361516035,-3512.0,2.6931637519872815,0.07368070951635197,0.1031009660899387,148,0.577259475218659,-168.60682145117875,97.02000863306247,0.0,101.21349415511587,1.0,4.0,2.0,False
343,5751.0,0.07863584913909719,1.1593670763304837,0.3819241982507289,-3349.5,2.2856894453138583,0.043630293786188754,0.12475803355678061,148,0.5189504373177842,-178.0,95.35250863306251,85.60286601856636,24.016721603081496,1.0,4.0,off,True
343,5147.5,0.08255823794701121,1.140697817441336,0.40233236151603496,-3222.0,2.4681884409907724,0.060158673618090984,0.11207117743443991,148,0.5306122448979592,-182.0,97.02000863306247,0.0,113.29746698276236,1.0,4.0,off,False
