feed,cell,side,filter,block,n,R,pct,pf,win
US30,US30 Optuna retdd,LONG,bull only,LOCKED,86,-0.0224,-0.0201,0.953,33.7
US30,US30 Optuna retdd,LONG,bear only,research,18,0.2568,0.1018,1.526,44.4
US30,US30 Optuna retdd,LONG,bear only,LOCKED,18,0.0059,0.0174,1.014,38.9
US30,US30 Optuna retdd,SHORT,both regimes,research,145,-0.0961,-0.0217,0.797,33.8
US30,US30 Optuna retdd,SHORT,both regimes,LOCKED,113,-0.1231,-0.0199,0.737,34.5
US30,US30 Optuna retdd,SHORT,bull only,research,109,-0.0094,0.0363,0.98,36.7
US30,US30 Optuna retdd,SHORT,bull only,LOCKED,83,-0.0729,0.0143,0.837,36.1
US30,US30 Optuna retdd,SHORT,bear only,research,36,-0.3585,-0.1971,0.302,25.0
US30,US30 Optuna retdd,SHORT,bear only,LOCKED,30,-0.2618,-0.1146,0.501,30.0
US30_ISO,As published L,LONG,both regimes,research,111,0.0052,0.0153,1.01,36.0
US30_ISO,As published L,LONG,both regimes,LOCKED,57,0.1099,0.0155,1.224,28.1
US30_ISO,As published L,LONG,bull only,research,92,0.0204,0.0165,1.04,37.0
US30_ISO,As published L,LONG,bull only,LOCKED,51,0.0589,-0.0247,1.117,27.5
US30_ISO,As published L,LONG,bear only,research,20,0.0009,0.0275,1.002,35.0
US30_ISO,As published L,SHORT,both regimes,research,126,0.0269,-0.0173,1.052,31.0
US30_ISO,As published L,SHORT,both regimes,LOCKED,49,-0.2001,-0.0935,0.6,26.5
US30_ISO,As published L,SHORT,bull only,research,101,0.0139,-0.0035,1.027,31.7
US30_ISO,As published L,SHORT,bull only,LOCKED,45,-0.2403,-0.0968,0.52,24.4
US30_ISO,As published L,SHORT,bear only,research,25,0.0796,-0.0732,1.144,28.0
US30_ISO,As published S,LONG,both regimes,research,111,0.0052,0.0153,1.01,36.0
US30_ISO,As published S,LONG,both regimes,LOCKED,57,0.1099,0.0155,1.224,28.1
US30_ISO,As published S,LONG,bull only,research,92,0.0204,0.0165,1.04,37.0
US30_ISO,As published S,LONG,bull only,LOCKED,51,0.0589,-0.0247,1.117,27.5
US30_ISO,As published S,LONG,bear only,research,20,0.0009,0.0275,1.002,35.0
US30_ISO,As published S,SHORT,both regimes,research,126,0.0269,-0.0173,1.052,31.0
US30_ISO,As published S,SHORT,both regimes,LOCKED,49,-0.2001,-0.0935,0.6,26.5
US30_ISO,As published S,SHORT,bull only,research,101,0.0139,-0.0035,1.027,31.7
US30_ISO,As published S,SHORT,bull only,LOCKED,45,-0.2403,-0.0968,0.52,24.4
