feat,fam,h,block,n,ic,t,p
rp.range_comp,rp,10,locked,258,-0.016345766504123213,-0.15319173527541552,0.8782470750399338
rp.range_comp,rp,20,research,476,-0.034222849020442335,-0.5593979448677264,0.5758901636424287
rp.range_comp,rp,20,locked,248,-0.16331146710388633,-1.2186544537833244,0.2229753717928593
rp.vol_ratio,rp,1,research,476,0.06928130537219852,1.5335925269240573,0.12512992794385802
rp.vol_ratio,rp,1,locked,267,0.06216089443800681,1.059167469025029,0.28952351748362193
rp.vol_ratio,rp,5,research,476,0.04009724644574811,0.5896116425531985,0.5554510444160785
rp.vol_ratio,rp,5,locked,263,-0.06361367132562673,-0.6668644044827742,0.5048587495193559
rp.vol_ratio,rp,10,research,476,0.07031685762686406,0.9872903844809136,0.32350030313703093
rp.vol_ratio,rp,10,locked,258,-0.0324843503741341,-0.28065360971400305,0.7789760932095553
rp.vol_ratio,rp,20,research,476,0.037695459514491,0.5014121288701446,0.6160811055035931
rp.vol_ratio,rp,20,locked,248,-0.15713946290582206,-1.1797436507380261,0.23810218715918596
rp.tom,rp,1,research,495,-0.03453256260242071,-0.7005995834821306,0.48355293843500746
rp.tom,rp,1,locked,267,0.009902928749602776,0.1719672824388961,0.8634632506067212
rp.tom,rp,5,research,495,-0.01618502689487233,-0.24571890050376022,0.8058998402005617
rp.tom,rp,5,locked,263,-0.09488816199304427,-1.1023973472417488,0.2702889643117563
rp.tom,rp,10,research,495,0.09457597135437922,1.47785775145049,0.13944585666002096
rp.tom,rp,10,locked,258,0.014782476764731592,0.13629369621033885,0.8915891070793516
rp.tom,rp,20,research,495,0.005642796433076574,0.10444562644655685,0.9168157159861465
rp.tom,rp,20,locked,248,0.044775891132230954,0.663543896475733,0.5069822754791908
pead.sue,pead,1,research,476,0.0008194737676599935,0.0182649143170296,0.98542751711384
pead.sue,pead,1,locked,267,-0.10398207492570095,-1.5665938091053937,0.11720966584743553
pead.sue,pead,5,research,476,-0.03923137477433873,-0.9480882850423529,0.34308451162853615
pead.sue,pead,5,locked,263,-0.09014190610132906,-1.3284931421609905,0.18401524760956223
pead.sue,pead,10,research,476,-0.025886581047513346,-0.6725495484913969,0.5012339077203718
pead.sue,pead,10,locked,258,-0.09357842142205547,-1.5569471722039099,0.11948302841249592
pead.sue,pead,20,research,476,-0.09349822948047144,-2.503324007135178,0.01230328531110736
pead.sue,pead,20,locked,248,-0.06245486058115182,-1.0161294459890426,0.30956774854660263
pead.abs_sue,pead,1,research,476,0.045620822311049546,1.0245610785310038,0.3055703373375498
