n,pts,sd,t,mde,pf,win,be,total,R,dd,ret_dd,sharpe,amb,med_min,sh_stop,sh_target,sh_chan,sh_flat,sh_eod,outside_mde,stop,tgt,policy,tie
440,7.05692233772196,46.460931182621,3.186058651971619,6.206256240154449,1.5226219330546134,0.4,0.3486,3105.0458285976624,0.14113844675443918,313.02014019337696,9.91963592719444,1.286231945182941,0.031818181818181815,15.0,0.7568181818181818,0.16136363636363638,0.0,0.08181818181818182,0.0,True,50,100,+trail1atr,1
400,6.260000000000002,73.23935080450717,1.7094635414531172,10.260833047711454,1.2362618543724953,0.4275,0.26145,2504.0000000000005,0.12520000000000003,1116.7900000000002,2.2421404203117863,0.7019104852384058,0.005,60.0,0.45,0.135,0.0,0.415,0.0,False,50,150,flatten,0
400,7.260000000000002,73.79774908100896,1.9675396852634581,10.339064646249355,1.2767340427660825,0.4325,0.26145,2904.0000000000005,0.14520000000000002,1116.7900000000002,2.600309816527727,0.8066812908054423,0.005,60.0,0.445,0.14,0.0,0.415,0.0,False,50,150,flatten,1
404,5.885742574257429,72.67816343231208,1.6277511157615476,10.131678321936556,1.2236312713606687,0.4207920792079208,0.26145,2377.840000000001,0.11771485148514854,1128.7900000000006,2.10653886019543,0.6698052419123663,0.0049504950495049506,60.0,0.42326732673267325,0.13366336633663367,0.05198019801980198,0.3910891089108911,0.0,False,50,150,+chan10,0
404,6.875841584158419,73.2404159773864,1.88697324528191,10.210058975125307,1.2638455664173065,0.42574257425742573,0.26145,2777.840000000001,0.13751683168316836,1128.7900000000006,2.4609006103881144,0.7753290088539723,0.0049504950495049506,60.0,0.4183168316831683,0.13861386138613863,0.05198019801980198,0.3910891089108911,0.0,False,50,150,+chan10,1
401,4.308503740648379,68.74151509645108,1.2551035578583911,9.618670432180263,1.1806591191180515,0.3690773067331671,0.26145,1727.71,0.08617007481296761,1090.7899999999993,1.5839070765225214,0.514618491543295,0.007481296758104738,45.0,0.516209476309227,0.12219451371571072,0.0,0.36159600997506236,0.0,False,50,150,+be1R,0
401,5.6800748129675815,69.72527592089105,1.6313081301868761,9.756323364925509,1.2408618410617036,0.3765586034912718,0.26145,2277.71,0.11360149625935165,1090.7899999999993,2.088128787392625,0.6675411813291019,0.007481296758104738,45.0,0.5087281795511222,0.12967581047381546,0.0,0.36159600997506236,0.0,False,50,150,+be1R,1
438,6.089840452761127,50.82601551282881,2.5075921713460363,6.804827811963192,1.4324887965016277,0.3858447488584475,0.26145,2667.3501183093736,0.1217968090552225,416.496297105911,6.404258901805055,1.0235941974420688,0.0136986301369863,15.0,0.8401826484018264,0.0684931506849315,0.0,0.091324200913242,0.0,False,50,150,+trail1atr,0
438,7.35907326742177,52.82301629588298,2.915660715958117,7.072195740216573,1.5258152168548103,0.3881278538812785,0.26145,3223.274091130735,0.14718146534843535,416.496297105911,7.739022203866286,1.1850783392433093,0.0136986301369863,15.0,0.8264840182648402,0.0821917808219178,0.0,0.091324200913242,0.0,True,50,150,+trail1atr,1
399,4.537067669172934,77.55984992750318,1.1684893123955948,10.87974316423922,1.1638904807559118,0.40601503759398494,0.20915999999999998,1810.2900000000009,0.09074135338345868,1296.9999999999998,1.395751734772553,0.4757008694258272,0.005012531328320802,60.0,0.47368421052631576,0.07268170426065163,0.0,0.45363408521303256,0.0,False,50,200,flatten,0
399,5.790200501253134,78.64632736498189,1.4706238460523473,11.032149280091149,1.2111560484958162,0.41102756892230574,0.20915999999999998,2310.2900000000004,0.11580401002506269,1078.79,2.141556744129998,0.6011667785202229,0.005012531328320802,60.0,0.46867167919799496,0.07769423558897243,0.0,0.45363408521303256,0.0,False,50,200,flatten,1
403,4.178982630272955,76.97858399411166,1.089815978340139,10.744483071223794,1.1519948231887929,0.39950372208436724,0.20915999999999998,1684.1300000000008,0.08357965260545908,1309.0000000000005,1.2865775401069521,0.4444598144986052,0.004962779156327543,60.0,0.4466501240694789,0.07196029776674938,0.052109181141439205,0.4292803970223325,0.0,False,50,200,+chan10,0
403,5.419677419354839,78.06813952312527,1.3936449050881867,10.896560575501352,1.1989986879988335,0.4044665012406948,0.20915999999999998,2184.13,0.10839354838709679,1090.7900000000004,2.0023377552049424,0.5707345261700688,0.004962779156327543,60.0,0.44168734491315137,0.07692307692307693,0.052109181141439205,0.4292803970223325,0.0,False,50,200,+chan10,1
