n,pts,sd,t,mde,pf,win,be,total,R,dd,ret_dd,sharpe,amb,med_min,sh_stop,sh_target,sh_chan,sh_flat,sh_eod,outside_mde,ctl_pts,ctl_pf,pf_ratio,edge,p_pts,p_pf,excess_total,feed,block,arm,cell
697,2.5120086083213784,67.5983816585593,0.98107275118187,7.174440541781683,1.0941694002561213,0.40746054519368724,0.26145,1750.8700000000008,0.05024017216642756,1038.6499999999983,1.6857170365378171,0.3924071261326365,0.005738880918220947,60.0,0.4720229555236729,0.10186513629842181,0.0,0.4261119081779053,0.0,False,-1.8861850474092976,0.9342527325066046,1.1711706716880126,4.398193655730676,0.05,0.05,3065.540978044281,US30L,A_research,ema34>89,D0 50/150 flat
671,3.811341281669151,81.53403381312658,1.2108773896183744,8.819537273383824,1.1390899093585922,0.3949329359165425,,2557.4100000000003,0.07622682563338301,1308.1799999999985,1.9549373939366168,0.4843652262421853,0.0,60.0,0.4858420268256334,0.0,0.0,0.5141579731743666,0.0,False,-1.7469195107516273,0.9415301100821234,1.2098284453794441,5.5582607924207785,0.0425,0.04,3729.5929917143426,US30L,A_research,ema34>89,D1 50/none flat
627,4.1485964912280675,103.83745889106461,1.0004166579830132,11.619526000154254,1.1205154815902745,0.47368421052631576,,2601.1699999999983,0.04148596491228066,1548.3099999999986,1.6800059419625273,0.3971008748730071,0.0,75.0,0.2679425837320574,0.0,0.0,0.7320574162679426,0.0,False,-0.9275897900294716,0.9769194111975155,1.1469886550997466,5.076186281257539,0.1075,0.0925,3182.768798348477,US30L,A_research,ema34>89,D2 100/none flat
863,4.029166860561715,47.2889674634448,2.502999827419173,4.5104779551402086,1.2981419109458818,0.39745075318655854,0.40916,3477.17100066476,0.04029166860561715,873.6681619487299,3.979967626276867,0.9286465343644803,0.006952491309385863,15.0,0.8146002317497103,0.047508690614136734,0.0,0.13789107763615296,0.0,False,0.7188461501978367,1.046412479403128,1.2405642483223631,3.3103207103638788,0.025,0.0175,2856.8067730440275,US30L,A_research,ema34>89,D3 100/150 trail1
850,5.3155952598247636,49.45558430209795,3.133617840118317,4.753067756809369,1.420245312154927,0.3988235294117647,,4518.255970851049,0.03543730173216509,830.5098013053048,5.44034033523716,1.2299108558165206,0.0,15.0,0.8541176470588235,0.0,0.0,0.14588235294117646,0.0,True,2.6590765180197,1.1826570146960862,1.2008936610585235,2.6565187418050638,0.1075,0.06,2258.040930534304,US30L,A_research,ema34>89,D4 150/none trail1
157,4.59598726114649,80.30661311546369,0.7170960533440948,17.958481636703482,1.1446736587155666,0.34394904458598724,0.26145,721.5699999999989,0.0919197452229298,1081.4600000000053,0.6672183899543167,0.46026755677729814,0.0,45.0,0.5859872611464968,0.1910828025477707,0.0,0.2229299363057325,0.0,False,-0.7543317392398623,0.9766036233695826,1.1720964691551017,5.350319000386353,0.205,0.21,840.0000830606574,US30L,B_holdout,+adx<=20,D0 50/150 flat
155,2.4906451612903253,92.47896713965534,0.3353009138332443,20.813506477367557,1.0755355284062893,0.3161290322580645,,386.0500000000004,0.0498129032258065,1481.8700000000003,0.2605154298285277,0.2106964022086233,0.0,45.0,0.6064516129032258,0.0,0.0,0.3935483870967742,0.0,False,-0.5136410675379341,0.9850090443862843,1.0919042160434254,3.0042862288282595,0.38,0.3775,465.6643654683802,US30L,B_holdout,+adx<=20,D1 50/none flat
148,8.674189189189217,115.19480100355963,0.9160662203685326,26.532009987586136,1.2057399091640473,0.47297297297297297,,1283.780000000004,0.08674189189189219,1018.2699999999888,1.260746167519438,0.5682082013012497,0.0,75.0,0.3783783783783784,0.0,0.0,0.6216216216216216,0.0,False,0.8780000000002572,1.0199652990222599,1.1821381671708548,7.79618918918896,0.24,0.225,1153.8359999999661,US30L,B_holdout,+adx<=20,D2 100/none flat
162,8.640922951328612,52.644351709374995,2.089131887687835,11.589438777089114,1.5964447713167056,0.4382716049382716,0.40916,1399.829518115235,0.08640922951328611,677.7441524062557,2.0654247080484502,1.3121990388321656,0.018518518518518517,15.0,0.8333333333333334,0.06172839506172839,0.0,0.10493827160493827,0.0,False,2.636093714688349,1.1495000850243602,1.3888165752357242,6.004829236640263,0.0925,0.0725,972.7823363357226,US30L,B_holdout,+adx<=20,D3 100/150 trail1
160,13.003603695116485,69.36844803135195,2.371164795162475,15.366328661783186,1.8723528520400812,0.45,,2080.5765912186375,0.08669069130077656,427.0625938470477,4.871830549420105,1.4554159208815118,0.0,15.0,0.8875,0.0,0.0,0.1125,0.0,False,4.123144091636087,1.2365588003207129,1.5141640264534686,8.880459603480398,0.0525,0.0625,1420.8735365568637,US30L,B_holdout,+adx<=20,D4 150/none trail1
