feed,block,side,geom,read,strict,recency,arm,n,per,keep,mde,p,base,vs_none
US30L,B_holdout,long,100pt / 100pt,any,True,75,fresh,76,-0.029584821584642713,0.10852329038652131,0.08221660994287831,0.6233333333333333,-0.020203876039081834,-0.00938094554556088
US30L,A_research,long,100pt / 100pt,any,True,150,none,1418,-0.0016198973594984767,1.0,0.02446035313641711,,-0.0016198973594984767,0.0
US30L,A_research,long,100pt / 100pt,any,True,150,m200,882,0.003055186600663874,0.6154608523290387,0.029842766549777806,0.26,-0.0016198973594984767,0.004675083960162351
US30L,A_research,long,100pt / 100pt,any,True,150,or,968,-0.0015694698172213472,0.6808721506442021,0.02870326545255883,0.5133333333333333,-0.0016198973594984767,5.0427542277129474e-05
US30L,A_research,long,100pt / 100pt,any,True,150,fresh,200,-0.03305810637367344,0.15213082259663033,0.0645222670325753,0.9333333333333333,-0.0016198973594984767,-0.03143820901417497
US30L,B_holdout,long,100pt / 100pt,any,True,150,none,600,-0.020203876039081834,1.0,0.02935453276513547,,-0.020203876039081834,0.0
US30L,B_holdout,long,100pt / 100pt,any,True,150,m200,360,-0.031044329236128078,0.6154608523290387,0.037553244456286716,0.9,-0.020203876039081834,-0.010840453197046244
US30L,B_holdout,long,100pt / 100pt,any,True,150,or,406,-0.03553796206755708,0.6808721506442021,0.03541266483053159,0.9866666666666667,-0.020203876039081834,-0.015334086028475243
US30L,B_holdout,long,100pt / 100pt,any,True,150,fresh,107,-0.020355065916959722,0.15213082259663033,0.0695402656729624,0.5666666666666667,-0.020203876039081834,-0.00015118987787788793
US30L,A_research,long,100pt / 100pt,any,False,30,none,1418,-0.0016198973594984767,1.0,0.02446035313641711,,-0.0016198973594984767,0.0
US30L,A_research,long,100pt / 100pt,any,False,30,m200,882,0.003055186600663874,0.6154608523290387,0.029842766549777806,0.26,-0.0016198973594984767,0.004675083960162351
US30L,A_research,long,100pt / 100pt,any,False,30,or,926,0.0018161578323661021,0.6496531219028742,0.02909139780630615,0.3,-0.0016198973594984767,0.003436055191864579
US30L,A_research,long,100pt / 100pt,any,False,30,fresh,91,0.02114623197244631,0.07135777998017839,0.08811436546655359,0.24666666666666667,-0.0016198973594984767,0.022766129331944787
US30L,B_holdout,long,100pt / 100pt,any,False,30,none,600,-0.020203876039081834,1.0,0.02935453276513547,,-0.020203876039081834,0.0
US30L,B_holdout,long,100pt / 100pt,any,False,30,m200,360,-0.031044329236128078,0.6154608523290387,0.037553244456286716,0.9,-0.020203876039081834,-0.010840453197046244
US30L,B_holdout,long,100pt / 100pt,any,False,30,or,385,-0.031544227410907594,0.6496531219028742,0.03632512485238847,0.9133333333333333,-0.020203876039081834,-0.01134035137182576
US30L,B_holdout,long,100pt / 100pt,any,False,30,fresh,53,0.012014427371246127,0.07135777998017839,0.10059763033598967,0.19666666666666666,-0.020203876039081834,0.03221830341032796
US30L,A_research,long,100pt / 100pt,any,False,75,none,1418,-0.0016198973594984767,1.0,0.02446035313641711,,-0.0016198973594984767,0.0
US30L,A_research,long,100pt / 100pt,any,False,75,m200,882,0.003055186600663874,0.6154608523290387,0.029842766549777806,0.26,-0.0016198973594984767,0.004675083960162351
US30L,A_research,long,100pt / 100pt,any,False,75,or,948,0.002613363844673626,0.6665014866204163,0.028770671459312197,0.23,-0.0016198973594984767,0.004233261204172102
US30L,A_research,long,100pt / 100pt,any,False,75,fresh,152,-0.002981336405093748,0.11496531219028741,0.07143141909834393,0.5066666666666667,-0.0016198973594984767,-0.0013614390455952711
US30L,B_holdout,long,100pt / 100pt,any,False,75,none,600,-0.020203876039081834,1.0,0.02935453276513547,,-0.020203876039081834,0.0
US30L,B_holdout,long,100pt / 100pt,any,False,75,m200,360,-0.031044329236128078,0.6154608523290387,0.037553244456286716,0.9,-0.020203876039081834,-0.010840453197046244
