feed,win,buf,side,ema,stop,tgt,flat,block,n,pct,tot,pf,win_r
US30L15,540-570,0.0,long,off,1.5,1.0,660,lock,585,-0.017171677923052284,-10.045431584985586,0.830918510301072,0.47692307692307695
US30L15,540-570,0.0,long,off,1.5,1.0,720,res,1378,-0.0083708543408869,-11.535037281742149,0.9272059626520852,0.5123367198838897
US30L15,540-570,0.0,long,off,1.5,1.0,720,lock,585,-0.018862547257938542,-11.034590145894047,0.821963480840175,0.48034188034188036
US30L15,540-570,0.0,long,off,1.5,1.0,960,res,1378,-0.009850433725519936,-13.573897673766472,0.9289890565394651,0.5108853410740203
US30L15,540-570,0.0,long,off,1.5,1.0,960,lock,585,-0.015458458512314333,-9.043198229703885,0.8619001337780549,0.48376068376068376
US30L15,540-570,0.0,long,off,1.5,1.0,0,res,1376,-0.00881841738252508,-12.13414231835451,0.9390200006283547,0.5138081395348837
US30L15,540-570,0.0,long,off,1.5,1.0,0,lock,585,-0.020157673913282586,-11.792239239270312,0.8279926067508852,0.47692307692307695
US30L15,540-570,0.0,long,off,1.5,1.5,660,res,1378,-0.007731702194681272,-10.654285624270793,0.9366833498806618,0.44992743105950656
US30L15,540-570,0.0,long,off,1.5,1.5,660,lock,585,-0.01651584977788066,-9.661772120060185,0.8433672522256037,0.42905982905982903
US30L15,540-570,0.0,long,off,1.5,1.5,720,res,1378,-0.0048906943090992186,-6.739376757938723,0.9633916575868748,0.44339622641509435
US30L15,540-570,0.0,long,off,1.5,1.5,720,lock,585,-0.017703481231013698,-10.356536520143013,0.84423760410254,0.4205128205128205
US30L15,540-570,0.0,long,off,1.5,1.5,960,res,1378,-0.0019743558577522613,-2.7206623719826157,0.9939732506819885,0.4296081277213353
US30L15,540-570,0.0,long,off,1.5,1.5,960,lock,585,-0.009914593954719962,-5.8000374635111775,0.9135215305178297,0.40512820512820513
US30L15,540-570,0.0,long,off,1.5,1.5,0,res,1368,-0.003543351961976603,-4.847305483983993,0.9823963746189432,0.4203216374269006
US30L15,540-570,0.0,long,off,1.5,1.5,0,lock,580,-0.011306106939315802,-6.5575420248031655,0.9074633275378811,0.39827586206896554
US30L15,540-570,0.0,long,off,1.5,2.0,660,res,1378,-0.003958503680246613,-5.454818071379833,0.9658175755743754,0.43686502177068215
US30L15,540-570,0.0,long,off,1.5,2.0,660,lock,585,-0.014603283501075193,-8.542920848128988,0.8619638415271969,0.4017094017094017
US30L15,540-570,0.0,long,off,1.5,2.0,720,res,1378,0.003202850047301838,4.413527365181933,1.0182498616787812,0.41799709724238027
US30L15,540-570,0.0,long,off,1.5,2.0,720,lock,585,-0.014647853723453124,-8.568994428220078,0.8718906445200046,0.38974358974358975
US30L15,540-570,0.0,long,off,1.5,2.0,960,res,1378,0.013202619308488346,18.19320940709694,1.089535073629508,0.3853410740203193
US30L15,540-570,0.0,long,off,1.5,2.0,960,lock,585,-0.003231524198189914,-1.8904416559410997,0.9614537102977782,0.35555555555555557
US30L15,540-570,0.0,long,off,1.5,2.0,0,res,1351,0.011037103161258856,14.911126370860714,1.071091122402791,0.36417468541820874
US30L15,540-570,0.0,long,off,1.5,2.0,0,lock,573,-0.00557615274149521,-3.195135520876755,0.9495071520618049,0.3368237347294939
US30L15,540-570,0.0,long,off,1.5,3.0,660,res,1378,-0.0033724531422115183,-4.647240429967472,0.9717230331732366,0.4296081277213353
US30L15,540-570,0.0,long,off,1.5,3.0,660,lock,585,-0.016580446150184513,-9.69956099785794,0.850564109998884,0.38803418803418804
US30L15,540-570,0.0,long,off,1.5,3.0,720,res,1378,0.0053220449597209275,7.333777954495438,1.0376531081037175,0.40493468795355586
US30L15,540-570,0.0,long,off,1.5,3.0,720,lock,585,-0.013610843301608033,-7.9623433314406995,0.8861017594815626,0.37435897435897436
US30L15,540-570,0.0,long,off,1.5,3.0,960,res,1378,0.004749534083724069,6.544857967371767,1.0415889228709794,0.33962264150943394
US30L15,540-570,0.0,long,off,1.5,3.0,960,lock,585,0.0005236904989769304,0.30635894190150426,0.9917815931147492,0.3128205128205128
US30L15,540-570,0.0,long,off,1.5,3.0,0,res,1286,0.010568550351158923,13.591155751590374,1.0668628079532834,0.27838258164852253
US30L15,540-570,0.0,long,off,1.5,3.0,0,lock,544,0.015440385002055612,8.399569441118253,1.0833168317871102,0.2702205882352941
US30L15,540-570,0.0,long,off,2.0,0.0,660,res,1378,-0.004653602064692566,-6.412663645146356,0.9681755260099083,0.47677793904209
US30L15,540-570,0.0,long,off,2.0,0.0,660,lock,585,-0.02045487234289418,-11.966100320593096,0.838801229981767,0.4170940170940171
US30L15,540-570,0.0,long,off,2.0,0.0,720,res,1378,0.008368575342226847,11.531896821588596,1.060586417230082,0.46081277213352684
US30L15,540-570,0.0,long,off,2.0,0.0,720,lock,585,-0.020523788493082614,-12.006416268453329,0.8569291011977207,0.4222222222222222
US30L15,540-570,0.0,long,off,2.0,0.0,960,res,1378,0.007322935050647164,10.091004499791792,1.0420334246271619,0.3802612481857765
US30L15,540-570,0.0,long,off,2.0,0.0,960,lock,585,0.008480256709384557,4.960950174989966,1.0404793711843372,0.35555555555555557
US30L15,540-570,0.0,long,off,2.0,1.0,660,res,1378,-0.011592761476549166,-15.974825314684752,0.9175920671519189,0.5043541364296081
US30L15,540-570,0.0,long,off,2.0,1.0,660,lock,585,-0.020537120654533857,-12.014215582902306,0.8245790833374338,0.4752136752136752
