p_range_end,p_side,p_buf_atr,p_atr_n,p_stop_mode,p_stop_atr,p_stop_pts,p_tgt_mode,p_tgt_r,p_tgt_pts,p_flat_m,p_be_pts,p_be_off,p_ma_mode,p_cross_min,p_m200_form,p_x_mode,p_conf,p_conf_tol,r_sharpe,r_sortino,r_pf,r_tot,r_n,r_tpy,r_retdd,ok,h_sharpe,h_sortino,h_pf,h_tot,h_n,h_retdd
570,both,0.0,30,atr,2.961411947171503,256.5915887065694,r,0.9868652640158202,333.0027949341623,960,100.0,25.0,state,30,state,cross,confluence,0.25,-0.17353367688761448,-0.252936998182019,0.9675953830603948,-7.041255472799249,1404,227.41064301552106,-0.4386993874107618,True,-1.2269339110500987,-1.6052803484759124,0.8082450436390696,-16.158597825007988,582,-0.9507619656220209
570,both,0.3,30,atr,2.363553872156748,246.2835105474462,r,1.5883956810375601,263.6838116598809,960,75.0,25.0,200all,30,state,cross,confluence,0.25,0.5014712901758015,0.8528705491606355,1.1138493724493812,18.26436063789432,1266,205.05831485587584,2.7000332530096065,True,-1.1674894840171401,-1.6253178607350407,0.799353728215489,-13.05973621190402,527,-0.9748153061362667
555,both,0.2,14,atr,0.5708749564887694,254.15865259741025,r,3.3222316922129287,191.4935432668962,960,75.0,25.0,state,15,state,cross,confluence,0.25,-0.2646475193292375,-0.5680408150944909,0.9427310981337115,-5.569182137176943,1430,231.6219512195122,-0.43805133573624616,True,-1.1207894558045886,-1.7237919966933157,0.8054432873249782,-7.364629081071391,590,-0.9129491627701053
570,both,0.0,10,atr,4.175408304285414,292.2863531903858,r,3.537208718410462,105.83741941946518,960,0.0,25.0,cross,15,state,cross,confluence,0.25,0.2663719685593657,0.5250989364919194,1.1774552590543512,10.78848232939102,266,43.08492239467849,1.7288146203471717,False,-0.5402954534553978,-0.6707179249051267,0.7891342246710905,-6.610879969715305,137,-0.5441209901915226
570,both,0.3,50,atr,1.4437459037212457,219.62471218605864,points,3.877543515881671,331.71359739743235,960,75.0,25.0,200all,30,state,cross,behind,0.25,0.3884389899873248,0.8429504817731744,1.099175179570107,12.80164437768014,1251,202.62871396895787,2.0386187046914617,True,-0.47623292107719156,-0.9260795549295012,0.8974571929182136,-4.924839121801252,517,-0.7912324173443258
570,both,0.1,50,atr,1.2575948227807638,202.31280682609997,points,4.052159025731301,308.08496194344366,960,150.0,25.0,200all,30,state,state,behind,1.0,0.11102003565338037,0.2305038227598396,1.0263660526241403,3.6467800793110126,1348,218.34013303769402,0.4319799957298946,True,-0.18629936185012083,-0.3878682308709998,0.9600432560772268,-2.055109505499896,567,-0.3590345583601804
570,both,0.3,30,points,2.4002063966853777,164.72253146817707,none,1.7703024891603005,235.01257808452814,0,50.0,25.0,200all,30,state,cross,behind,0.25,0.6150004747041983,1.2490705756883191,1.1964958543776087,28.551874248900596,1128,182.70598669623058,3.0012354242008525,True,-0.7285197251585164,-1.1175257680167314,0.8344972761579227,-9.053638738935174,492,-0.89814988572227
570,both,0.2,30,points,3.348621687766287,174.758086793925,none,3.332696673885656,337.3360434861122,720,50.0,25.0,200all,30,state,state,behind,0.25,0.23404234381767988,0.3643030219262444,1.0569782040003166,7.009018386868294,1267,205.22028824833703,0.8699982740915239,True,-0.7205686747178814,-1.0206347083201186,0.849973160683497,-7.352756382843303,524,-0.757736737892941
570,both,0.3,30,points,4.633867172438158,44.87676827189094,points,2.286622768311797,359.13876476812266,0,50.0,0.0,200all,30,state,cross,behind,0.5,0.6034288322813344,1.6711865809942257,1.1887882904021017,21.485373616286473,1200,194.3680709534368,2.244729574081686,True,-0.32342795427832727,-0.8521127837876183,0.9139657062043675,-3.24344394734896,520,-0.615944896688976
570,both,0.3,30,points,3.071721394301382,83.1961817611804,r,2.7043745397398924,210.7384684008996,720,50.0,0.0,off,30,state,cross,behind,0.5,-0.8753086091708127,-1.235413015721408,0.5629387662265485,-7.028513487538587,133,21.542461197339247,-0.977731485696152,False,-0.5009408213175223,-0.7811387305330764,0.709904117862542,-1.3666853648040733,47,-0.6006283244366332
555,both,0.3,30,range,4.64746324115642,50.41819628693805,points,2.075595950267037,328.64541283231046,0,50.0,25.0,200all,30,state,cross,behind,1.0,0.08238139396597956,0.15563117650970604,1.0233011315638012,2.5452540658119167,1112,180.11441241685145,0.240327065258953,True,-0.10215545146669677,-0.17626438856673346,0.9731841979432668,-1.1600336433404017,495,-0.18318768974726105
570,both,0.3,30,points,3.9935495447574128,121.74953200278334,points,2.8542808678805125,387.2375478658531,840,100.0,5.0,200all,300,state,cross,behind,0.5,-0.07124834814191534,-0.12103820918332567,0.9845652439482041,-2.7591000596989383,1264,204.73436807095342,-0.19391489822953872,True,-1.2190961626634589,-1.9302042784781122,0.7800977530325389,-16.178213930116655,525,-0.8864859809307859
