rule,geom,n,pts,sd,mde,pf,win,be,res_win,amb,flat_sh,tot,kept,ctl_med,p,lift_pts,fam,lift_br
atrpct250>=0.5,50/150,804,-1.7327860696517405,61.76382494978272,6.1034345248929,0.933998296375677,0.39552238805970147,0.26145,0.14352941176470588,0.007462686567164179,0.47139303482587064,-1393.1599999999994,0.6850853548966757,0.9380079894224558,0.99,-2.7164702801780574,ATR,1.1560384572064233
atrpct250>=0.8,50/150,368,-4.333478260869565,57.76149647526626,8.436895267116256,0.8292117407289602,0.37771739130434784,0.26145,0.1348314606741573,0.005434782608695652,0.5163043478260869,-1594.7199999999998,0.2830188679245283,0.43323128552838974,0.9825,-5.317162471395881,ATR,1.0872176941892324
atrpct250<=0.5,50/150,418,6.930095693779905,75.75208446129142,10.381845889688126,1.2466268219588612,0.4258373205741627,0.26145,0.21641791044776118,0.0023923444976076554,0.3588516746411483,2896.78,0.31761006289308175,0.6141152808112911,0.0,5.946411483253589,ATR,0.7725450993197478
ema13>48,50/150,858,2.221655011655014,67.64883227454521,6.471199538209206,1.0823641551860321,0.40792540792540793,0.26145,0.1746987951807229,0.006993006993006993,0.4195804195804196,1906.180000000002,0.8418688230008985,1.0464813148344105,0.035,1.237970801128697,EMA,1.4918458723009513
ema13<48,50/150,267,-3.863033707865168,68.5813091287608,11.76029649887746,0.8675277838071104,0.36704119850187267,0.26145,0.18125,0.00749063670411985,0.40074906367041196,-1031.4299999999998,0.15813117699910154,0.16051424099008382,0.88,-4.846717918391485,EMA,0.3629471901234738
ema13x48 fresh<=5,50/150,247,-3.2130769230769225,63.28254933752795,11.282455277986088,0.8837284599584511,0.3765182186234818,0.26145,0.15,0.016194331983805668,0.4331983805668016,-793.6299999999999,0.1918238993710692,0.3371227498642615,0.8525,-4.196761133603239,EMA,2.0535768767563227
ema13>34>89,50/150,665,2.8769172932330846,67.47206552920836,7.331305441885501,1.1086931202592523,0.4120300751879699,0.26145,0.17678100263852242,0.006015037593984963,0.43007518796992483,1913.1500000000012,0.6621743036837376,0.8899840510366837,0.0525,1.8932330827067676,EMA,1.5689377596605267
d_ema200>=0,50/150,892,1.001479820627804,66.28432630612652,6.218656242506801,1.0371367781812075,0.4013452914798206,0.26145,0.1650294695481336,0.005605381165919282,0.42937219730941706,893.3200000000011,0.8566936208445642,1.0191509942568886,0.51,0.017795610101487003,EMA,1.459418886322288
d_ema200>=1.0,50/150,801,0.2792883895131088,66.24390919637803,6.558398869293589,1.010151337561583,0.3995006242197253,0.26145,0.15450643776824036,0.006242197253433208,0.418227215980025,223.71000000000015,0.7794249775381851,0.9965710220869967,0.78,-0.7043958210132082,EMA,1.5535393428066597
d_ema200>=2.0,50/150,692,1.3675144508670531,66.97875152752907,7.134312553665359,1.0504879563453533,0.4046242774566474,0.26145,0.16541353383458646,0.0072254335260115606,0.4234104046242775,946.3200000000008,0.692722371967655,0.9505358378645583,0.37,0.3838302403407362,EMA,1.6453464344752893
d_ema200<=1.0,50/150,307,-0.6092182410423425,72.73132391979,11.631090535818856,0.9793084831568196,0.3713355048859935,0.26145,0.21428571428571427,0.006514657980456026,0.36156351791530944,-187.02999999999912,0.2205750224618149,0.06661155921158134,0.6025,-1.5929024515686594,EMA,0.4426632430675127
