param,don,stop,tgt,cell,atr_u_n,atr_u_days,atr_u_mean,atr_u_sd,atr_u_se,atr_u_n_eff,atr_u_t,atr_u_mde80,atr_u_pf,atr_u_win,pct_n,pct_days,pct_mean,pct_sd,pct_se,pct_n_eff,pct_t,pct_mde80,pct_pf,pct_win,med_min,amb,n_US30,m_US30,n_US100,m_US100,n_NQ,m_NQ
pts,10,50.0,100.0,don10 50pts/100pts,3122,1726,-0.12018705303941776,3.4117112278803563,0.06855752546527095,2476.4767907999567,-1.7530833008303468,0.19206974993390652,0.9060057599666298,0.4192825112107623,3122,1726,-0.008384141870992156,0.35307576477869007,0.006964796476010342,2569.9161690746787,-1.203788495452901,0.019512470854355868,0.9425372768835458,0.4192825112107623,60.0,0.005124919923126201,1376,-0.04904782172210362,1273,-0.21047011585513828,473,-0.08415585500181111
pts,10,50.0,150.0,don10 50pts/150pts,3009,1726,-0.1402762081261204,3.595379318642947,0.07374278077131373,2377.1161961253615,-1.902236485509487,0.20659668455145777,0.8953350943515783,0.3954802259887006,3009,1726,-0.011949871521421233,0.37991633144870013,0.007751513407910512,2402.165474762397,-1.5416178612587121,0.02171652538160657,0.9219586230794093,0.3954802259887006,75.0,0.0029910269192422734,1319,-0.053416493178188446,1244,-0.2518886410910631,446,-0.08584144895108349
pts,10,50.0,1000000000.0,don10 50pts/none,2925,1726,-0.15068097610702685,3.7381362208795204,0.07829208267927436,2279.683493597346,-1.924600431493125,0.2193419415295334,0.8908514640894291,0.38256410256410256,2925,1726,-0.015693542218013074,0.39993979894531656,0.008346125284331759,2296.2514765839405,-1.8803386821277024,0.02338238122510275,0.9000513997551115,0.38256410256410256,75.0,0.0,1262,-0.0739347849011025,1231,-0.2535193270412551,432,-0.08183765041684517
pts,10,100.0,100.0,don10 100pts/100pts,2963,1726,-0.11125747383038401,3.8664196011547842,0.08122282760088252,2266.009669448803,-1.3697808499980755,0.2275526731799705,0.9236916874361328,0.4978062774215322,2963,1726,-0.009536931408809029,0.4231590162311228,0.008791345213052375,2316.842597954051,-1.0848091137007898,0.02462970279621574,0.9443329616573175,0.4978062774215322,75.0,0.0013499831252109348,1294,-0.03765548628768083,1225,-0.17066712718635813,444,-0.16185239842315347
pts,10,100.0,150.0,don10 100pts/150pts,2838,1726,-0.14383424057357494,4.083656830907736,0.08747121312998922,2179.5567365663064,-1.644360875158159,0.2450580577153868,0.9072947600801362,0.47181113460183227,2838,1726,-0.01430304439230359,0.45693252089179615,0.009754735104712293,2194.1846723544886,-1.4662668169629856,0.027328721675969617,0.9218416688284939,0.47181113460183227,105.0,0.0007047216349541931,1228,-0.048715411773954005,1192,-0.22796506130755315,418,-0.1833605167722172
pts,10,100.0,1000000000.0,don10 100pts/none,2737,1726,-0.15158675424023793,4.267944316998941,0.09403153604801998,2060.1100849741556,-1.6120842071837016,0.2634373614285895,0.9060634747429118,0.4607234198027037,2737,1726,-0.01605101073762713,0.4967125904396285,0.011200639824929954,1966.6391156736297,-1.4330440928831054,0.03137954696693118,0.9151106385840965,0.4607234198027037,120.0,0.0,1159,-0.05909574391036985,1175,-0.22029247650015402,403,-0.21726381954275817
pts,20,30.0,100.0,don20 30pts/100pts,2678,1492,-0.03794969835122381,2.8337532918661807,0.061068007639384476,2153.2604956536757,-0.6214333792469919,0.17108722750210936,0.9615413424756846,0.3625840179238238,2678,1492,0.0011200721520445837,0.29077587093127594,0.0062074442862847835,2194.2750740900515,0.1804401457970971,0.017390684154715255,1.0099463500187853,0.3625840179238238,45.0,0.006721433905899925,1143,0.07680095356016263,1102,-0.1147068535014893,433,-0.14550999894965824
pts,20,30.0,150.0,don20 30pts/150pts,2607,1492,-0.03564691158360729,3.012528739363321,0.06593341782283053,2087.6188968254205,-0.5406501401064023,0.18471808875210816,0.9650550403112099,0.34177215189873417,2607,1492,-1.2187587067387044e-05,0.3155999639846465,0.00702060401965095,2020.8074447820823,-0.0017359741459956298,0.019668820443678587,0.9998954646989173,0.34177215189873417,45.0,0.0030686612965093976,1108,0.0636122796063999,1085,-0.10143012878741907,414,-0.12889423808697004
pts,20,30.0,1000000000.0,don20 30pts/none,2557,1492,-0.04781955392143198,3.090989207391901,0.06835344550887082,2044.909795316482,-0.6995924428597534,0.19149800254474275,0.9540546324122667,0.3300743058271412,2557,1492,-0.0034883151987202773,0.3300290576608985,0.007227130043996617,2085.319574334609,-0.4826694936281003,0.02024742070064105,0.9706056636231659,0.3300743058271412,45.0,0.0,1076,0.03938891658454493,1077,-0.11076980444482425,404,-0.11227226295791135
pts,20,50.0,100.0,don20 50pts/100pts,2533,1492,-0.07063673362195563,3.2926334627044835,0.07388096358181934,1986.1940340954882,-0.9560884184155112,0.2069838154707676,0.9413453714697231,0.4397947098302408,2533,1492,-0.0034269695622307804,0.3438804505260678,0.007574462363600113,2061.1583123625373,-0.45243733452283663,0.021220501793015094,0.9753916304143115,0.4397947098302408,60.0,0.005527043031977891,1083,0.05679081456155799,1058,-0.2022455042222214,392,-0.06747845654967033
