market,side,entry1,exit1,atr_len,atr_mult,pyr_step,max_units,adx_max,ext_max,ao_min,skip_win,res_sharpe,res_pf,res_n,res_R,res_dd,lk_sharpe,lk_pf,lk_n,lk_R,lk_dd
NQ,long,39,32,19,4.9,0.8,2,0.0,3.5,-0.5,False,-1.9269386350887672,0.5434984650509661,164,-0.11473820926814515,20.168143606504636,-1.4078821735991203,0.6246616380300459,78,-0.09430413185576116,8.719637213130998
NQ,long,16,13,13,1.5,0.2,2,35.0,3.5,0.25,False,-0.9801661961942556,0.7594823729959284,197,-0.1505446599807639,44.86119623399925,-0.6525248019931589,0.800125333370099,101,-0.11823015449873063,25.655343505561447
NQ,long,63,12,11,2.5,0.5,3,22.0,5.0,0.5,False,-1.6349576185516,0.5134386875541609,107,-0.21210438701716,25.535449216854214,-1.3381549862541118,0.5957083258882999,51,-0.16627160730049495,12.844617306209896
NQ,long,11,20,13,1.4,1.3,1,30.0,3.5,0.0,True,-0.3947997898343807,0.8960760058595414,193,-0.06702336251603712,22.695568824252064,0.07254093450221179,1.0249933040853283,100,0.015886432171438966,17.650585622443213
NQ,long,14,37,16,5.0,0.0,4,26.0,8.0,0.25,False,-0.18137968919736602,0.9560433359077979,255,-0.012137992602771416,13.996014165021606,0.08905896646998762,1.023007469047401,138,0.006126494177828068,7.39230806507018
NQ,long,61,14,27,4.1,1.3,4,22.0,2.5,-0.5,True,-2.0095039311249816,0.23407448552543955,34,-0.26634175979240554,10.656737814192715,,,0,,
NQ,long,59,30,19,4.6,0.2,1,26.0,3.5,0.0,False,-1.7347799462678084,0.42930366290312016,74,-0.16791701094552594,13.817579544401756,-1.3917396961504291,0.5342657373341975,33,-0.1336102844024194,4.628128873211757
NQ,long,68,12,14,2.0,1.1,3,0.0,5.0,0.25,False,-2.4977695545563097,0.4007843251073962,123,-0.3191678664012355,41.744660543545635,-1.8052222234606372,0.5198097609495717,59,-0.22927913635238326,17.82605772251998
NQ,long,54,13,26,1.1,0.1,1,18.0,5.0,0.0,False,-0.6820189230215113,0.7883594150601758,128,-0.14891197590793565,32.21649701624802,-0.8580058783179753,0.7319292531695035,65,-0.20388040265551832,23.58326225333083
NQ,long,60,13,15,3.7,0.0,3,22.0,2.5,-999.0,True,-0.9299987734204743,0.5409049214564192,36,-0.15776063318768813,9.176833370590355,,,0,,
NQ,long,37,5,24,2.6,0.5,2,26.0,3.5,-999.0,True,-1.2322100776282912,0.6792074844006392,151,-0.1102233629510881,20.723240410266722,-0.3610166880311624,0.873511223465589,75,-0.04033416133417456,10.086514882326492
NQ,long,12,35,19,3.2,0.1,4,35.0,8.0,1.0,True,-0.03664122742300677,0.9879803373355353,145,-0.00415452815502959,12.461255463827888,-0.926051047525153,0.7366531507822317,84,-0.09286138321484746,11.535294134236524
NQ,long,61,15,23,1.2,0.5,3,26.0,0.0,0.25,False,-2.84690472737377,0.46935574305658007,208,-0.3749248589159406,90.84740355065193,-2.4859239905786703,0.5061905990935682,113,-0.32240907746489833,44.507536680746604
NQ,long,25,40,16,1.3,1.4000000000000001,1,18.0,3.5,0.5,False,-0.21588160070395626,0.9300786470336552,134,-0.047625589170107466,20.277850521269077,0.3331203807247805,1.1397841391421935,63,0.09019915431497126,14.042993668238395
NQ,long,50,18,18,1.3,0.0,2,22.0,3.5,1.0,False,-0.4854474665908983,0.7617257193039041,48,-0.15369301811425942,16.351076026981705,-1.5089810154895564,0.5091424078543978,25,-0.3153289182188232,9.611558939430708
