family,side,expiry,fill_res,c1_immed,c1_sel,c1_mkt,c1_lim,c1_price,c1_delta,c1.5_immed,c1.5_sel,c1.5_mkt,c1.5_lim,c1.5_price,c1.5_delta,c2_immed,c2_sel,c2_mkt,c2_lim,c2_price,c2_delta
ema.below200.S,S,12,0.3428007889546351,-0.07962046861388383,-0.5239663542386358,-0.1174319080257977,-0.25931909863312097,0.38207916363131256,-0.14188719060732327,-0.10308398635024567,-0.5206799031853486,-0.14467031728862376,-0.28374533274063557,0.38160488773333684,-0.1390750154520118,-0.12544250635124393,-0.5266823726163328,-0.17874380190213562,-0.31755201782765474,0.3878741566908137,-0.13880821592551912
ema.below50.L,L,12,0.34808102345415776,-0.036927393461630084,-0.46106996439119835,-0.0015262916611476893,0.07587166760695804,0.5384679236593041,0.07739795926810573,-0.06520630450010764,-0.46911231846104695,-0.040235196323663104,0.04422622965804075,0.5535737444427509,0.08446142598170386,-0.09312063122328224,-0.4632122605848562,-0.07822722349420655,0.0017988583829736163,0.5432383424620364,0.08002608187718016
ema.below50.S,S,12,0.3468372423596304,-0.07560310523804319,-0.5087214543335151,-0.15013432368918758,-0.17006318954746494,0.48879258847523777,-0.019928865858277356,-0.10352059658362603,-0.5039613667244243,-0.18542179549670224,-0.20061942108854508,0.4887637411325814,-0.015197625591842845,-0.131577828435714,-0.5074251005523933,-0.22178396818628585,-0.2419711650234688,0.48723790371521036,-0.020187196837182952
null.random0.L,L,11,0.3551236749116608,-0.11909301049992037,-0.4280382325784509,-0.00020973777857349229,0.060611106254804856,0.48885907661182926,0.06082084403337835,-0.14552511545725538,-0.42446839989462387,-0.03303084501601754,0.021025859322370475,0.4785251042330119,0.05405670433838801,-0.17263214010205824,-0.4236365413004866,-0.06311397816377194,-0.053265975840900974,0.4334845436233576,0.009848002322870968
null.random0.S,S,16,0.3480565371024735,-0.03015958534861218,-0.5198415289304344,-0.11133050590972386,-0.4214154950534253,0.20975653978673298,-0.3100849891437014,-0.05776379315418738,-0.5217350882350331,-0.14127541240628153,-0.4535939786504657,0.20941652199084893,-0.3123185662441842,-0.08439947700458059,-0.5236286475396319,-0.17122031890283923,-0.4857724622475061,0.20907650419496498,-0.31455214334466686
null.random1.L,L,14,0.3570127504553734,-0.06330549067394471,-0.3800620318805725,-0.10464062486107716,0.10310122005349107,0.5878038767951408,0.2077418449145682,-0.09044262757443998,-0.40408109008193493,-0.14593116901506267,0.00234719514417326,0.5523594542411708,0.14827836415923593,-0.11851120328398948,-0.405208264895188,-0.17451120567876635,-0.04222734917397509,0.5374921213999793,0.13228385650479127
null.random1.S,S,18,0.3551912568306011,-0.026142184632733108,-0.3934819471486221,-0.3008930146447501,-0.281202428254694,0.4131725335386782,0.01969058639005611,-0.052507928264939344,-0.40340761487536575,-0.33475421300834524,-0.3096179984386728,0.42854382944503816,0.02513621456967241,-0.08014540758037156,-0.38087444294299694,-0.385088523184518,-0.33803356862265177,0.42792939750486314,0.0470549545618662
null.random2.L,L,14,0.34896810506566606,-0.09223368693808055,-0.39614950435791907,-0.07218429114397759,-0.058629362294858156,0.4097044332070385,0.013554928849119435,-0.11937285018857995,-0.3934780831454005,-0.10596710099904777,-0.09042401054416649,0.4090211736002818,0.015543090454881281,-0.14536183028382565,-0.3951686525943252,-0.13538792019267468,-0.12221865879347489,0.408337913993525,0.013169261399199786
null.random2.S,S,16,0.3452157598499062,-0.019671669705147273,-0.47331000489729536,-0.04798596285960142,0.024413970167009306,0.5457099379239061,0.07239993302661073,-0.047324398271851656,-0.4734133603951265,-0.07735573716304346,-0.009176275490302161,0.5415928220678677,0.0681794616727413,-0.07813748068019155,-0.47351671589295785,-0.10672551146648547,-0.0393320956338597,0.5409101317255836,0.06739341583262577
null.random3.L,L,15,0.34594594594594597,-0.036810604160094476,-0.4047064009952133,0.08426508290215473,0.36008683173813444,0.680528149831193,0.2758217488359797,-0.06401669969945144,-0.40508866908460306,0.05436967626339491,0.3291030237715796,0.6798220165927877,0.2747333475081847,-0.09287701036759699,-0.405470937173993,0.024474269624635038,0.2981192158050248,0.6791158833543828,0.27364494618038976
null.random3.S,S,14,0.35495495495495494,-0.10879128709082272,-0.589052489613975,-0.1919888106463787,-0.4271538652684589,0.3538874349918949,-0.23516505462208018,-0.13764679929060103,-0.5939738890770743,-0.2234631183990217,-0.47518412263498694,0.342252884841109,-0.2517210042359652,-0.16397831598029952,-0.5956209482099952,-0.25313562434986286,-0.5071476372081615,0.3416089353516967,-0.2540120128582986
roc.dn12.L,L,15,0.35448783159871666,-0.021461365801102774,-0.5200807687707011,0.035815367017842124,0.03967599533847777,0.5239413970913367,0.003860628320635648,-0.03330449512122486,-0.5196998592903211,0.02088296723272825,0.025550371322901173,0.5243672633804941,0.004667404090172925,-0.04523615334814969,-0.5211614636177415,0.005125248473583159,0.00633989872495534,0.5223761138691136,0.0012146502513721812
roc.dn12.S,S,15,0.3430628374677205,-0.019316188468378473,-0.5307370528581551,-0.08892311938746052,-0.1714090139588959,0.44825115828671974,-0.08248589457143539,-0.031390774237833555,-0.5304507029378487,-0.10390463238415129,-0.18545579402432286,0.44889954129767706,-0.08155116164017157,-0.043213721986064726,-0.5317204630553963,-0.1203049134765395,-0.19941530724335751,0.4526100692885783,-0.07911039376681801
roc.dn192.L,L,16,0.357465710723192,-0.05495138294867293,-0.4803648079142049,-0.05564895929722425,-0.0360377183604598,0.49997604885096936,0.019611240936764453,-0.07686931882940916,-0.4864556231374502,-0.08214106428712659,-0.06897323867262363,0.4996234487519532,0.013167825614502957,-0.09853660606681044,-0.49411052165799074,-0.1139443203668078,-0.09563664329270259,0.5124181987320959,0.018307677074105203
roc.dn192.S,S,16,0.35364713216957605,-0.03437089150323743,-0.5255075639283697,-0.03286863870717109,-0.04149100511874904,0.5168851975167917,-0.008622366411577952,-0.055721790172707675,-0.524682847772577,-0.06502866663477272,-0.06593476323542949,0.5237767511719202,-0.0009060966006567694,-0.07799717956228384,-0.5234628860210034,-0.09073396140740073,-0.09420534509155588,0.5199915023368483,-0.0034713836841551576
roc.dn48.L,L,17,0.3527864147333174,-0.017144712554130206,-0.513590843892636,0.024259338090880184,0.05772333077919759,0.5470548365809534,0.03346399268831741,-0.030611073624688206,-0.5141978975173944,0.005095500752744523,0.03895503981024195,0.5480574365748918,0.033859539057497424,-0.04390151925908814,-0.5149560239947947,-0.01206636693801773,0.02231911602367559,0.549341506956488,0.03438548296169332
roc.dn48.S,S,16,0.3481623216136491,-0.03566281273954099,-0.48692142502981745,-0.037065966855765166,-0.0652104606153988,0.4587769312701838,-0.028144493759633633,-0.04904229073973585,-0.48496944067440306,-0.05907987568250392,-0.08042024070241702,0.46362907565448996,-0.0213403650199131,-0.0625338948148053,-0.4834571563266643,-0.07458019406171731,-0.09745749174170237,0.4605798586466793,-0.02287729767998506
roc.up12.L,L,18,0.35183094047427005,0.0057940714380084815,-0.548888759331838,0.1299249409119844,0.15648400268070484,0.5754478211005585,0.026559061768720443,-0.006888188069194838,-0.5488137856711116,0.11495523641678082,0.13882968201789334,0.5726882312722241,0.023874445601112515,-0.01992331250111467,-0.5517683648976348,0.09770742484774653,0.12299464982429072,0.577055589874179,0.02528722497654419
roc.up12.S,S,17,0.3548152927891595,-0.056724268088559994,-0.42996721793611997,-0.14934385248110643,-0.13784187223041872,0.4414691981868077,0.011501980250687716,-0.06906994185382564,-0.4306355972219108,-0.16423505558676532,-0.15604393925693924,0.43882671355173686,0.008191116329826081,-0.08208256574687416,-0.4296673574847073,-0.18024381665379197,-0.17427571205533426,0.435635462083165,0.005968104598457702
