stop,target,hold_h,n,pts,sd,se,t,sharpe,pf,win,mde,need_n,med_min,trigger,hold_pts
50,0,1.0,1215,1.6647325102880663,68.30845409896567,1.9596852231886506,0.8494897499810405,0.33581642635259434,1.0688393206905271,0.4148148148148148,5.490225153439737,13215,60.0,donch20 long,-0.4093490054248617
50,0,2.0,1105,2.597782805429864,83.22707764823794,2.5037070170105564,1.0375745994959247,0.4114174568541194,1.0891325955065283,0.3746606334841629,7.014348569342489,8056,105.0,donch20 long,-0.3809270216962065
50,0,4.0,1034,2.5958800773694395,97.15747306791198,3.0214536852787224,0.8591493856143538,0.3437804064053866,1.07771047467506,0.3288201160541586,8.464859981889822,10994,105.0,donch20 long,-6.967062374245401
75,20,1.0,1469,-3.1953778080326742,35.33151528624095,0.9218311210150167,-3.4663375266765604,-1.3605138650358597,0.790735775724867,0.7018379850238258,2.582588442232178,-1,15.0,donch20 long,-5.761489971346682
75,20,2.0,1442,-3.733134535367544,37.5910445747654,0.9899237954608902,-3.7711332452913364,-1.4786883859067725,0.7753512236751778,0.7330097087378641,2.7733558724215155,-1,15.0,donch20 long,-5.658658892128281
75,20,4.0,1429,-3.565717284814555,38.52169681650975,1.0190354547113563,-3.4991101323599687,-1.3768079656588728,0.7888306844319196,0.7550734779566131,2.854914666652363,-1,15.0,donch20 long,-5.691459854014599
75,30,1.0,1415,-3.4249823321554764,41.71918327876702,1.1090664757650799,-3.0881668565383174,-1.2321368837663105,0.8234006726031723,0.6134275618374558,3.1071442444080923,-1,15.0,donch20 long,-4.83165413533832
75,30,2.0,1378,-4.089709724238025,44.86743744125112,1.208666978707108,-3.3836530626597603,-1.341753575098646,0.810107440071649,0.6473149492017417,3.386183541167096,-1,15.0,donch20 long,-4.743067484662579
75,30,4.0,1360,-3.7848529411764704,46.554073917966846,1.2623745710435137,-2.9982011900380776,-1.1990597938292205,0.8303668793259755,0.6772058823529412,3.536649937957207,-1,15.0,donch20 long,-4.630986132511562
75,40,1.0,1359,-0.843348050036792,45.94972185269983,1.2464451109157353,-0.6766026378949035,-0.2660843530167908,0.958967395098542,0.58719646799117,3.4920221979307033,-1,30.0,donch20 long,-1.6786469673405713
75,40,2.0,1321,-1.6775851627554883,49.93854978717305,1.37399299160826,-1.2209561278706913,-0.47978017316296784,0.928445087063552,0.6124148372445117,3.8493584550805173,-1,30.0,donch20 long,-1.7045135566188228
75,40,4.0,1297,-1.21135697764071,52.11966864712003,1.4472103438695147,-0.8370289659496312,-0.32884052503320427,0.9509070047501588,0.6407093292212799,4.0544831068850185,-1,30.0,donch20 long,-1.3257945425361206
75,50,1.0,1319,0.010985595147838891,50.27268215548851,1.3842344663027135,0.00793622425627169,0.0031457893472153714,1.0004921502209578,0.5549658832448825,3.878050819196176,164370776,45.0,donch20 long,-0.7177955271565205
75,50,2.0,1272,-0.9464465408805034,54.76135815590911,1.5354322387047545,-0.6164039786470147,-0.24398117623757976,0.9631554785674497,0.5754716981132075,4.301644263369343,-1,45.0,donch20 long,-0.6820922570016485
75,50,4.0,1245,0.02485943775100323,57.64476098250583,1.6337107510992297,0.01521654780950468,0.0060279146536579686,1.0009105316592888,0.6008032128514056,4.576979890951836,42203139,30.0,donch20 long,-0.9679069767441977
75,75,1.0,1269,0.8077147360126059,57.164119000318706,1.60469575440645,0.5033444712461186,0.20141162608751026,1.0329618523133814,0.5074862096138691,4.495691905113748,39313,60.0,donch20 long,-1.086812080536871
75,75,2.0,1193,0.1710226320201122,63.977806800853266,1.8522906149555913,0.09233034527047607,0.037202289566462585,1.0058508627893383,0.512154233025985,5.189350006508964,1098396,60.0,donch20 long,-1.9058450704225471
75,75,4.0,1153,1.8426973113616583,68.85731962846152,2.0278482835867044,0.908695845875824,0.36520807966428886,1.0576390931099926,0.5247181266261925,5.681189775872266,10959,60.0,donch20 long,-2.910178571428598
75,100,1.0,1239,0.8221872477804649,62.30762578525685,1.7701315781236557,0.4644780410346589,0.1879059343287771,1.031670996456992,0.480225988700565,4.959174463386215,45076,60.0,donch20 long,-0.007482517482448269
75,100,2.0,1151,0.8820243266724533,71.10471114571756,2.0958524984236147,0.4208427488746769,0.16932867565852078,1.0281347316681941,0.476107732406603,5.871709378928732,51008,90.0,donch20 long,0.050370370370355716
75,100,4.0,1101,2.8353405994550345,77.86227177755065,2.346569445381755,1.2082917916770892,0.4818956196776166,1.0807495349744962,0.47956403269754766,6.574114271457072,5919,75.0,donch20 long,-0.9939848197343675
75,150,1.0,1210,0.9017355371900818,67.6111437836604,1.9436837233227404,0.46393120772167545,0.18291255715698637,1.0337191467952596,0.46859504132231405,5.4453955879477665,44125,60.0,donch20 long,0.6812979890311619
75,150,2.0,1108,1.4238989169675071,79.76627050092432,2.3963453502300456,0.5941960397447784,0.23788552723587367,1.0430513380821294,0.44765342960288806,6.71356571069824,24631,120.0,donch20 long,1.0764717348928283
75,150,4.0,1044,3.5040613026819902,89.93285405738591,2.7833519579022883,1.2589357564836587,0.5025963714666536,1.091729629484753,0.4329501915708812,7.79779770206484,5170,120.0,donch20 long,0.33284569138273895
75,0,1.0,1186,1.8659865092748715,77.82315852049534,2.259781810212901,0.8257374675916482,0.33093743187779795,1.0688742554515154,0.45952782462057334,6.330971315653029,13652,60.0,donch20 long,-0.1681132075470802
75,0,2.0,1062,3.148794726930317,96.5281845205845,2.9620465527151976,1.0630470085096855,0.43129194429423545,1.0932516753968748,0.4312617702448211,8.298425837449372,7376,120.0,donch20 long,0.94138075313816
75,0,4.0,979,3.4638304392236936,112.68610905957102,3.6014636644053777,0.9617840861364325,0.3897520297326858,1.0858644658668053,0.39938712972420837,10.08980736576907,8306,240.0,donch20 long,-5.914229074889779
100,20,1.0,1465,-2.808771331058019,39.009261666392774,1.0191753662338747,-2.7559254512176636,-1.0841484097155274,0.8173194570971425,0.7296928327645051,2.8553066407056944,-1,15.0,donch20 long,-5.124339080459733
100,20,2.0,1435,-2.800801393728222,41.56226179725071,1.097168228869784,-2.552754737177713,-1.0057614595622255,0.8283388743482334,0.7686411149825784,3.0738102917847727,-1,15.0,donch20 long,-4.155982404692079
100,20,4.0,1420,-2.7435211267605624,43.064891400232966,1.1428235576955195,-2.400651533901539,-0.9460528063209216,0.8367808309857506,0.7971830985915493,3.2017175861510405,-1,15.0,donch20 long,-3.841470588235293
100,30,1.0,1410,-3.075815602836879,45.83369601921883,1.2206055033797618,-2.5199096631304583,-0.9935098662331597,0.844580344712044,0.6418439716312057,3.4196303354160795,-1,30.0,donch20 long,-5.404501510573978
100,30,2.0,1366,-2.973016105417277,49.53701946440248,1.3403077314902994,-2.218159334283296,-0.8729274806949583,0.8618933728447724,0.6874084919472914,3.754986328265748,-1,30.0,donch20 long,-5.103137557959811
