tf,ema,xr,end,fast,slow,uniq,n,pct,pf,win,mde,ratio,t
1.0,6.5/24.0,3.5,590,7,24,8,23,0.028845664955889694,1.628383095049078,0.6956521739130435,0.08764171513348037,0.3291316801817157,0.9222269678691672
1.0,6.5/24.0,3.5,600,7,24,9,24,0.03579294457890449,1.8136259128731633,0.7083333333333334,0.08613894012249734,0.41552571378291503,1.1643030500197278
1.0,6.5/24.0,3.5,615,7,24,10,25,0.02630046969609209,1.5229451971315577,0.68,0.08679730817953443,0.3030101998289086,0.8490345799206018
1.0,6.5/24.0,7.0,590,7,24,11,34,0.013455453883744178,1.314528734935443,0.6176470588235294,0.06358493551969288,0.21161386378345687,0.5929420463212461
1.0,6.5/24.0,7.0,600,7,24,12,35,0.01865902308444419,1.448993449882384,0.6285714285714286,0.06343974328694452,0.2941219828089074,0.8241297958305586
1.0,6.5/24.0,7.0,615,7,24,13,37,0.017284885047508344,1.3861891777704276,0.6216216216216216,0.06363882962416012,0.2716090969866962,0.7610486897567229
1.0,6.5/24.0,14.0,590,7,24,14,43,0.017961951035531568,1.405085455329281,0.627906976744186,0.05881863722370922,0.3053785650833012,0.85567073936341
1.0,6.5/24.0,14.0,600,7,24,15,44,0.021998733419002322,1.507662448103774,0.6363636363636364,0.058568901775638865,0.3756043352711877,1.052443347429868
1.0,6.5/24.0,14.0,615,7,24,16,46,0.020748243679094874,1.4527201681532578,0.6304347826086957,0.05855826606777385,0.35431793105146564,0.9927988428062067
1.0,13.0/48.0,3.5,590,13,48,17,12,-0.01940116104031373,0.7113739579327497,0.5,0.11918598622924508,-0.1627805554505132,-0.456111116372338
1.0,13.0/48.0,3.5,600,13,48,17,12,-0.01940116104031373,0.7113739579327497,0.5,0.11918598622924508,-0.1627805554505132,-0.456111116372338
1.0,13.0/48.0,3.5,615,13,48,18,13,-0.033410219998090025,0.5691771500533751,0.46153846153846156,0.11645040464701538,-0.2869051430036944,-0.8039082106963517
1.0,13.0/48.0,7.0,590,13,48,17,12,-0.01940116104031373,0.7113739579327497,0.5,0.11918598622924508,-0.1627805554505132,-0.456111116372338
1.0,13.0/48.0,7.0,600,13,48,17,12,-0.01940116104031373,0.7113739579327497,0.5,0.11918598622924508,-0.1627805554505132,-0.456111116372338
1.0,13.0/48.0,7.0,615,13,48,19,14,-0.017595642405821628,0.7556517659821647,0.5,0.11656349024384537,-0.150953290511569,-0.42297112001341636
1.0,13.0/48.0,14.0,590,13,48,20,19,0.024998359450423634,1.5461500541458124,0.631578947368421,0.09376222310868233,0.2666144063312936,0.7470535665402845
1.0,13.0/48.0,14.0,600,13,48,20,19,0.024998359450423634,1.5461500541458124,0.631578947368421,0.09376222310868233,0.2666144063312936,0.7470535665402845
1.0,13.0/48.0,14.0,615,13,48,21,21,0.02197351277906243,1.4307782970946272,0.6190476190476191,0.09279480343147753,0.23679680290813193,0.6635046417485856
2.0,3.25/12.0,3.5,590,2,6,0,27,0.004991571111290695,1.095396534387326,0.6666666666666666,0.07806820105375113,0.06393859527842742,0.17915594397015364
2.0,3.25/12.0,3.5,600,2,6,0,27,0.004991571111290695,1.095396534387326,0.6666666666666666,0.07806820105375113,0.06393859527842742,0.17915594397015364
2.0,3.25/12.0,3.5,615,2,6,1,28,-0.0023838038388056017,0.9586524353924295,0.6428571428571429,0.07801530372443691,-0.030555592620975947,-0.0856167705239746
2.0,3.25/12.0,7.0,590,2,6,2,35,-0.01893378762406557,0.722713127350477,0.5428571428571428,0.06883504667214897,-0.27506028599420246,-0.7707189213557553
2.0,3.25/12.0,7.0,600,2,6,3,36,-0.012973102744945175,0.8045794990344701,0.5555555555555556,0.06894909867373146,-0.18815478366634147,-0.5272097038330888
2.0,3.25/12.0,7.0,615,2,6,4,37,-0.01806893584620086,0.7420117687824581,0.5405405405405406,0.06856298323806191,-0.2635377720287134,-0.7384328372244551
2.0,3.25/12.0,14.0,590,2,6,5,44,-0.024872514948726675,0.6781349550509488,0.5,0.06455654208676256,-0.3852826397563018,-1.0795619565971575
2.0,3.25/12.0,14.0,600,2,6,6,46,-0.019508620330916694,0.7360717819523106,0.5217391304347826,0.06317605400624066,-0.3087977025122461,-0.8652511624393137
2.0,3.25/12.0,14.0,615,2,6,7,47,-0.0233811800577356,0.6948874748223999,0.5106382978723404,0.0627623869337969,-0.3725349082468543,-1.0438428129076858
2.0,6.5/24.0,3.5,590,3,12,8,28,0.02909841409117789,1.6270331062810939,0.7142857142857143,0.07988068347098416,0.36427347422168205,1.020694274769153
2.0,6.5/24.0,3.5,600,3,12,9,29,0.03484160215783618,1.7776053421074194,0.7241379310344828,0.07873897161362013,0.44249501160375,1.2398710225137075
2.0,6.5/24.0,3.5,615,3,12,10,30,0.0269629178361948,1.5389346266982735,0.7,0.07920768245907941,0.3404078619535989,0.953822829193984
2.0,6.5/24.0,7.0,590,3,12,11,35,0.0021018765767667246,1.0361549957615905,0.6285714285714286,0.07066100547502725,0.029745919445054628,0.08334806628504306
