mk,tf,read,n,band,stop,tp,cnt,mu,tot,pf,hold,cr
US30L,30,V close>value,100,2.0s,2.5,0.0,4058,-0.005207947922596671,-21.13385266989729,0.9726348258939876,180.0,0.020357479104862804
US30L,30,V close>value,100,2.0s,2.5,2.0,4895,-0.008304452450085997,-40.65029474317095,0.9574704354738361,210.0,0.01946381673125079
US30L,30,B channel break,100,2.0s,1.5,0.0,1506,0.003134387577192096,4.720387691251297,1.0150185271109589,390.0,0.029402846498559104
US30L,30,B channel break,100,2.0s,1.5,2.0,2007,0.010412070973277471,20.897026443367885,1.0529311085401514,240.0,0.027930888643856823
US30L,30,B channel break,100,2.0s,2.5,0.0,1337,-0.009690363946646456,-12.956016596666313,0.9623842042163169,660.0,0.01728979098178985
US30L,30,B channel break,100,2.0s,2.5,2.0,1563,-0.0012923139807262353,-2.019886751875106,0.9948308520929243,510.0,0.01679446202522327
US30L,30,R channel revert,100,2.0s,1.5,0.0,2403,0.00047007585001829824,1.1295922675939707,1.0022587512117564,240.0,0.02790456573667249
US30L,30,R channel revert,100,2.0s,1.5,2.0,2455,-0.0040135003064269035,-9.853143252278048,0.9802534367025619,210.0,0.02783535603083227
US30L,30,R channel revert,100,2.0s,2.5,0.0,1909,-0.005512982560422745,-10.52428370784702,0.9780665831450426,420.0,0.016610804983857717
US30L,30,R channel revert,100,2.0s,2.5,2.0,1913,-0.0036705202117240285,-7.021705165028067,0.9852971899104666,390.0,0.016603871151050754
US30L,30,B channel break,100,1.5A,1.5,0.0,2720,0.007867242717743242,21.398900192261618,1.0400628950249409,330.0,0.03386351026325321
US30L,30,B channel break,100,1.5A,1.5,2.0,4289,-0.0010574363170806958,-4.535344363959104,0.9942725877691424,180.0,0.03151823068787909
US30L,30,B channel break,100,1.5A,2.5,0.0,2246,0.0018613098434584084,4.180501908407585,1.0075249803028494,540.0,0.019965396792559993
US30L,30,B channel break,100,1.5A,2.5,2.0,2860,-0.004764013908403628,-13.625079778034376,0.9802210375666777,420.0,0.01877160593410289
US30L,30,R channel revert,100,1.5A,1.5,0.0,4761,-0.005263316617096759,-25.05865041399767,0.9726365069006588,180.0,0.03110205652856833
US30L,30,R channel revert,100,1.5A,1.5,2.0,5047,-0.00736384942218309,-37.16534803375806,0.9604786365540624,180.0,0.03126136260887991
US30L,30,R channel revert,100,1.5A,2.5,0.0,3540,-0.00706628655701004,-25.014654411815542,0.9699364314072579,300.0,0.018556205898342167
US30L,30,R channel revert,100,1.5A,2.5,2.0,3573,-0.007733938263089443,-27.63336141401858,0.9668939806942716,300.0,0.0185864681786377
US30L,60,S slope state,20,2.0s,1.5,0.0,2485,0.009368984320791664,23.281926037167285,1.0414455199743415,420.0,0.0227630465048091
US30L,60,S slope state,20,2.0s,1.5,2.0,3801,-0.0018113215869419766,-6.884833351966453,0.9919044431407241,300.0,0.022146208156983194
US30L,60,S slope state,20,2.0s,2.5,0.0,2042,0.0047180029125882044,9.634161947505113,1.0173482803673863,720.0,0.013668871714553764
US30L,60,S slope state,20,2.0s,2.5,2.0,2536,0.0028936436811086426,7.338280375291518,1.0104615098451568,660.0,0.01336940514034611
US30L,60,X slope cross,20,2.0s,1.5,0.0,1164,0.03870545179985991,45.053145895036934,1.1601783538136317,660.0,0.023619434706464125
US30L,60,X slope cross,20,2.0s,1.5,2.0,1409,-0.0011769859190017388,-1.6583731598734501,0.9950830785503814,360.0,0.023625639268745093
US30L,60,X slope cross,20,2.0s,2.5,0.0,1018,0.002116037690260791,2.1541263686854855,1.0071640138100808,900.0,0.014173192491679214
US30L,60,X slope cross,20,2.0s,2.5,2.0,1130,0.003919533878416747,4.429073282610924,1.0135672319971765,780.0,0.014092065719736003
US30L,60,V close>value,20,2.0s,1.5,0.0,5284,-0.009006900436906941,-47.59246190861628,0.9470705847897147,240.0,0.023862204590767357
US30L,60,V close>value,20,2.0s,1.5,2.0,6048,-0.010683595297505647,-64.61438435931416,0.9361696544095893,180.0,0.02341119799100498
US30L,60,V close>value,20,2.0s,2.5,0.0,5028,-0.015863344839416847,-79.7608978525879,0.9134715808199726,240.0,0.014327656495276873
US30L,60,V close>value,20,2.0s,2.5,2.0,5312,-0.018691965069257233,-99.29171844789443,0.8970977281412269,240.0,0.014121095225685134
US30L,60,B channel break,20,2.0s,1.5,0.0,1992,-0.008751098960709932,-17.432189129734184,0.9535410620292841,240.0,0.022003146922421567
