sym,n_entry,fast,slow,mode,atr,stop,targ,n,exp,excess,z,p,pf,wr,sel
NAS,10,9,34,state,none,2.0,3.0,1385,-2.6495538477217453,-0.41933626126414847,-0.3541202391501599,0.64,0.8455814989603376,0.39855595667870036,0.7830235439900868
NAS,10,9,34,state,pct<0.8,1.0,2.0,1105,-2.5100352714371597,0.2807709155840383,0.32948730893676026,0.2866666666666667,0.7648897193357196,0.31312217194570136,0.4793060718711276
NAS,10,9,34,state,pct<0.8,1.5,2.0,1105,-2.830364924346627,-0.10703284519290213,-0.11876810761530304,0.5333333333333333,0.7842145666975087,0.39547511312217193,0.4793060718711276
NAS,10,9,34,state,pct<0.8,2.0,3.0,1105,-2.033420531719716,0.19059070084779162,0.1631582167615842,0.46,0.8761079803567551,0.39547511312217193,0.4793060718711276
NAS,10,9,34,state,pct0.2-0.8,1.0,2.0,1075,-2.709925259194959,-0.0036661130274557863,-0.004300224297792767,0.5,0.7553214516542762,0.30790697674418605,0.44807930607187113
NAS,10,9,34,state,pct0.2-0.8,1.5,2.0,1075,-2.9497653806954682,-0.0035544093746979755,-0.0035220348818329472,0.49333333333333335,0.782312171577855,0.3944186046511628,0.44807930607187113
NAS,10,9,34,state,pct0.2-0.8,2.0,3.0,1075,-2.3251364412425457,-0.23993029339082161,-0.18261406335708216,0.5666666666666667,0.8625543571436551,0.39627906976744187,0.44807930607187113
NAS,10,9,34,state,exp>1.2,1.0,2.0,1244,-2.6714257040445535,-0.11601498651345743,-0.1301657117483356,0.5466666666666666,0.7850504328228921,0.3392282958199357,0.5567534076827757
NAS,10,9,34,state,exp>1.2,1.5,2.0,1244,-3.2780571986644698,-0.7451944961585024,-0.7689250074296629,0.7666666666666667,0.7802546068826196,0.4115755627009646,0.5567534076827757
NAS,10,9,34,state,exp>1.2,2.0,3.0,1244,-3.1388259127788234,-0.8874229687814728,-0.7048184101586201,0.7733333333333333,0.8186976764118242,0.407556270096463,0.5567534076827757
NAS,10,9,34,cross4,none,1.0,2.0,707,-2.624290842908433,-0.04072152097607029,-0.03485049396027012,0.5066666666666667,0.7752538987185453,0.30975954738330974,0.255638166047088
NAS,10,9,34,cross4,none,1.5,2.0,707,-3.2923087612037074,-0.6268444881836244,-0.510890581626171,0.68,0.7686369299214462,0.37765205091937765,0.255638166047088
NAS,10,9,34,cross4,none,2.0,3.0,707,-1.7742724568747208,0.34336419623368,0.2099810726863183,0.41333333333333333,0.8910558024899643,0.39603960396039606,0.255638166047088
NAS,10,9,34,cross4,pct<0.8,1.0,2.0,468,-2.2228588480708518,0.41239189151262456,0.30691966374560475,0.38666666666666666,0.7975306714853446,0.3055555555555556,0.14250309789343246
NAS,10,9,34,cross4,pct<0.8,1.5,2.0,468,-2.4269702861884226,0.3840277780935559,0.2574224184762882,0.4066666666666667,0.819049476325816,0.391025641025641,0.14250309789343246
NAS,10,9,34,cross4,pct<0.8,2.0,3.0,468,-0.8104300528281752,1.56056868562325,0.7616478878864603,0.21333333333333335,0.9508952051193533,0.40384615384615385,0.14250309789343246
NAS,10,9,34,cross4,pct0.2-0.8,1.0,2.0,453,-1.914663835436702,0.8185836803117779,0.675956169772171,0.26,0.8286912795447057,0.304635761589404,0.1355638166047088
NAS,10,9,34,cross4,pct0.2-0.8,1.5,2.0,453,-1.983086414405561,0.719884356502261,0.4714975243287378,0.2866666666666667,0.854107231962491,0.39514348785871967,0.1355638166047088
NAS,10,9,34,cross4,pct0.2-0.8,2.0,3.0,453,-0.7775966217483962,1.7652131058953806,0.9366470071790886,0.16,0.9537187584563677,0.40397350993377484,0.1355638166047088
NAS,10,9,34,cross4,exp>1.2,1.0,2.0,597,-1.9720542575619227,0.6930553684530334,0.6477359831977997,0.2733333333333333,0.8372317604050794,0.3232830820770519,0.19541511771995043
NAS,10,9,34,cross4,exp>1.2,1.5,2.0,597,-3.842978954788421,-1.2487404667139872,-0.8696418075574439,0.8133333333333334,0.7461698219671496,0.37353433835845895,0.19541511771995043
NAS,10,9,34,cross4,exp>1.2,2.0,3.0,597,-3.1097054852520465,-0.9609736271179581,-0.5812888143275412,0.68,0.814926450652206,0.38358458961474035,0.19541511771995043
NAS,10,9,34,cross8,none,1.0,2.0,794,-3.6420917295843673,-0.8911836780764801,-0.867225842739582,0.7866666666666666,0.6966948665609731,0.2972292191435768,0.3473358116480793
NAS,10,9,34,cross8,none,1.5,2.0,794,-4.293318113024448,-1.5235490513255447,-1.2075988824079822,0.8733333333333333,0.7071754636931747,0.371536523929471,0.3473358116480793
NAS,10,9,34,cross8,none,2.0,3.0,794,-3.2970041723916537,-1.0634006327996373,-0.7169053111217408,0.7533333333333333,0.807707664302731,0.38413098236775817,0.3473358116480793
