stop,tgt,be,arm,tr,n_r,pts_r,pf_r,sh_r,dd_r,n_l,pts_l,pf_l,sh_l,dd_l
1.5,3.0,1.0,1.5,1.5,187,-4.221843372920129,0.7423822968215968,-1.1256301390995247,1155.370404766544,96,6.721307931728108,1.4034323983702162,1.0428622083024466,370.88401014446777
1.5,3.0,1.5,0.0,1.0,186,-6.488169133861671,0.6641796317516427,-1.5764408880417058,1338.4366840083624,96,8.084459603218066,1.4265122205605671,1.1045656270674582,487.68183712775476
1.5,3.0,1.5,1.0,0.75,187,-3.0227000698215094,0.8155542542436833,-0.8165342451436621,1080.6811662341775,97,4.5450971832564715,1.2756516867403505,0.9335125241109173,327.0264153024817
1.5,3.0,1.5,1.0,1.0,187,-4.081244366798829,0.7512523336711459,-1.0980042643585735,1114.4415547737958,97,2.8416066457532545,1.171988822090206,0.5749213794200497,373.56631055379853
1.5,3.0,1.5,1.0,1.5,187,-4.838840468448882,0.724823510449382,-1.2363378865642949,1182.8813049699227,96,6.6184973454042195,1.3668181163514364,0.9825463801727894,496.2133178659517
1.5,3.0,1.5,1.5,0.75,187,-5.157000352533361,0.7316443803034127,-1.2825005292962657,1267.9780681788147,97,6.339357625204845,1.3379296026787115,1.0937796669509732,378.8039147460721
1.5,3.0,1.5,1.5,1.0,187,-5.1633330060356455,0.7313148470401283,-1.2573231656205268,1205.2673157359372,97,5.434523011524117,1.2896959456476977,0.9453856325857409,385.2058538781264
1.5,3.0,1.5,1.5,1.5,187,-5.8307039138202414,0.6965867645729571,-1.4140937042064057,1256.8320492366117,96,6.955189722606886,1.366935275652596,1.0130299737041963,465.1774096417246
1.5,4.0,0.0,0.0,1.0,183,-6.6294934425818575,0.6864215923668406,-1.4423621317070803,1322.7272999924833,95,10.230913835276528,1.4661432336963256,1.1357685413160241,666.8549438736557
1.5,4.0,0.0,1.0,0.75,187,-2.854507327409148,0.8258174080758397,-0.7606385739353126,1093.7308751773041,97,5.29760800271796,1.3212900676839023,1.0266393947841634,327.0264153024817
1.5,4.0,0.0,1.0,1.0,187,-3.843092724067689,0.7657674325080772,-1.011201424798003,1109.4680493422807,97,3.5495863617875307,1.2148394388729575,0.6793956618611426,373.56631055379864
