,0
19636,-38.673401103535724
19639,-33.55513405032383
19640,0.0
19641,11.311248303525502
19642,70.00825136098734
19643,0.0
19646,-38.243039946434436
19647,141.6228530672354
19648,-113.81754662663064
19649,-61.85544127629939
19650,0.0
19653,55.44116552852691
19654,7.28
19655,-56.74491286692995
19656,0.0
19657,-17.22
19660,83.87833409329076
19661,0.0
19662,0.0
19663,0.0
19664,0.0
19667,-16.045059574754703
19668,0.0
19669,18.179510148917473
19670,3.7800000000000002
19671,-14.715728799941132
19674,18.53
19675,66.28
19676,0.0
19677,15.313314220090687
19678,10.03
19681,0.0
19682,57.28
19683,81.95901265104592
19684,12.78
19685,-5.72
19688,-43.60002009459524
19689,17.536578101914785
19690,0.0
19691,0.0
19692,-45.29516551461114
19695,45.24759629525332
19696,0.0
19697,1.53
19698,-67.24042632864322
19699,65.3956754127478
19702,-28.72
19703,-72.84599453158211
19704,14.78
19705,-44.66047793028949
19706,0.0
19709,22.28
19710,0.0
19711,30.125630832183816
19712,0.0
19713,14.453934862188616
19717,0.0
19718,16.4386792589369
19719,16.114298492406814
19720,-23.974326628819398
19724,69.78
19725,-52.79828597374711
19726,59.03
19727,195.78
19730,177.03
19731,25.78
19732,-49.34613760589738
19733,22.726299958879537
19734,-43.80772955092354
19737,0.0
19738,61.50846316289113
19739,0.0
19740,-21.47
19741,-17.97
19744,-66.32098026210835
19745,8.919496912335743
19746,3.9864485353039347
19747,-82.00898564773655
19748,66.53
19751,-29.22
19752,-50.16346021466728
19753,0.0
19754,11.861393413969635
19755,38.03
19758,0.0
19759,0.0
19760,0.0
19761,-35.73186747542189
19762,17.700533312248155
19765,56.03
19766,-81.40851419518614
19767,0.0
19768,56.704188894856344
19769,0.0
19772,-21.02219664822536
19773,-44.284789338623085
19774,0.0
19775,-35.768675506670405
19776,-47.22
19779,-48.54138665043021
19780,0.0
19781,8.659340615654655
19782,156.00954713862535
19783,0.0
19786,11.53
19787,0.0
19788,0.0
19789,-78.54393992173456
19790,18.450176367533714
19793,42.03
19794,0.0
19795,29.171160119281268
19796,-48.43422536957834
19797,0.0
19800,0.0
19801,-70.39037910858562
19802,-44.48388261822532
19803,-11.22
19804,0.0
19807,40.53
19808,0.0
19809,6.234891692326783
19810,-29.085192162105812
19814,0.0
19815,0.0
19816,0.0
19817,-24.008876514891597
19818,162.53
19821,-10.72
19822,-38.02252346605266
19823,9.28
19824,22.53
19825,-65.47
19828,-48.47034673647315
19829,-15.47
19830,70.0667085507387
19831,0.0
19832,0.0
