trial,fast_type,fast_len,slow_type,slow_len,gate,exit,nR,mR,pfR,tR,nH,mH,pfH,tH
2565,tema,4,tema,203,state,cross,64.0,0.04510479843042578,3.475420103350301,3.288877461640122,54.0,-0.00798271214159759,0.8407901243843571,-0.505632776578839
2566,linreg,60,sma,198,16.5,state,9.0,0.01559326426335186,1.3176864263744235,0.2994536810692292,17.0,-0.03042803347719881,0.5190884278572274,-0.9860193276630025
2567,ema,39,hull,204,state,off,45.0,0.0017116854792103302,1.0316461937274455,0.07858818678388808,48.0,0.01636816906588091,1.3923620533026813,0.8333866616913013
2568,ema,8,tema,226,state,state,54.0,0.01252938354482428,1.3021403907104634,0.6983279291527502,51.0,-0.007966629840125626,0.856692293380351,-0.4316287133912694
2569,tema,4,tema,230,state,cross,61.0,0.034460736196294764,2.331680996194525,2.3237611032176115,54.0,-0.010921986580560426,0.7912239560590688,-0.6790158671252055
2570,hull,4,hull,239,state,cross,64.0,0.039149493077107723,2.8524575023032672,2.862476087578167,54.0,0.0017800912588439106,1.0370988764653908,0.10568376972323493
2571,hull,40,ema,198,19.0,state,19.0,0.003703471052994242,1.0989157347577296,0.13371337354790422,26.0,-0.02582830427009444,0.5888651667199603,-1.0187783090462188
2572,dema,2,sma,226,state,cross,56.0,-0.01440056229248741,0.7422242705367194,-0.8389834886516482,53.0,-0.02086999984306242,0.6490704913171031,-1.2022512995068817
2573,dema,44,hull,198,13.5,cross,28.0,-0.014400786743924957,0.7050897763140811,-0.6289362823922321,24.0,-0.018217039245482392,0.6821156365822131,-0.6927564454268035
2574,linreg,35,tema,204,4.5,state,15.0,0.0365875499448418,1.9241077680511052,0.9846980019882433,12.0,0.035993454460737886,1.8762030077681202,0.8471477331208749
2575,linreg,18,sma,214,11.5,state,20.0,0.007404907812925629,1.2182966682535075,0.28627119754012975,19.0,-0.005635330532681461,0.8968743082364126,-0.18870226408842417
2576,wma,2,hull,220,state,state,62.0,0.028940559034968307,2.0683398848693604,1.9880987896751146,54.0,0.007557047912292615,1.1655702360053875,0.44223736924538753
2577,wma,5,wma,214,12.0,cross,33.0,0.029335715751504638,1.8360484259567893,1.2968630590811583,25.0,-0.00922022072924717,0.8496544452651158,-0.3374276439751037
2578,tema,7,tema,215,state,cross,58.0,0.037121700826328256,2.615204429868807,2.4849012621495183,54.0,-0.004533229190983566,0.9095026814866584,-0.2715824174107872
2579,dema,14,linreg,196,17.5,state,32.0,0.017737268240132577,1.5829988623723106,0.8730137375774913,40.0,-0.0058194009659115285,0.8788150482821517,-0.2957770255239135
2580,sma,60,dema,191,state,off,34.0,0.02817128898031333,1.6217113072021256,1.0960531735178072,38.0,-0.00845278587760412,0.8388901363994236,-0.3869175111351826
2581,tema,3,tema,226,state,cross,61.0,0.02621689352687461,1.8500490705562422,1.7265965337606641,54.0,-0.011726404707281072,0.7791415367484081,-0.728715420821665
2582,wma,7,tema,212,state,cross,54.0,0.014424453188987831,1.3653318995678911,0.8244000902163475,51.0,-0.009198382819504044,0.8292528686188095,-0.5148392673516035
2583,tema,3,tema,206,state,cross,64.0,0.03515807976915544,2.4052146861355848,2.4446860611387455,54.0,-0.00798271214159759,0.8407901243843571,-0.505632776578839
2584,tema,27,wma,196,state,cross,48.0,-0.026282332179668435,0.6052391910696219,-1.3253873031709302,53.0,-0.03617797465295866,0.4667209996092171,-2.1072731644732823
2585,tema,5,tema,210,state,cross,61.0,0.035153298877435214,2.5860049454152096,2.476828358695812,54.0,-0.001119814669645766,0.9760284716397585,-0.06929888588233411
2586,ema,14,linreg,198,16.0,off,26.0,0.017193977843500557,1.406450824857143,0.62431453002076,28.0,-0.009985192574440874,0.8240609210682474,-0.3756704077633145
2587,tema,5,tema,218,state,cross,59.0,0.03568585860840624,2.515160299492091,2.4119365146362313,54.0,-0.0013646514047496205,0.9709177360582671,-0.08436146940847143
2588,hull,35,hull,195,state,state,47.0,0.0022691620575450763,1.0483921940482026,0.11891400855583394,51.0,-0.0001511184032195259,0.996921144128844,-0.008370153085372816
2589,linreg,6,hull,205,state,state,60.0,0.02856407745031024,1.9745233088285588,1.8839106146786242,53.0,0.009441739851082272,1.2256248284727265,0.5678149609700608
