tf,stop_atr,tp_r,block,n,n_signals,p_lower,p_upper,ambiguous,p_star,reach_t,reach_s,win,pf,pts,pf_theory_up,pf_theory_lo,hit_tp,hit_sl,flat,t_tp,t_sl
5,2.5,3.0,locked,965,12876,0.11175831003417211,0.21598322460391425,0.10422491456974214,0.2572475212709113,0.21598322460391425,0.5664026095060578,0.32849740932642485,0.8945076833571953,-3.378776173898934,0.7920599739106301,0.36175294418295284,0.12746113989637306,0.5958549222797928,0.2766839378238342,103.0,35.0
5,2.5,4.0,research,1672,23832,0.07670359180933199,0.14963074857334677,0.07292715676401477,0.20793568283537617,0.14963074857334677,0.5797247398455858,0.31399521531100477,0.9341645989666137,-1.5136284504236386,0.6763824402929082,0.31934018963788396,0.0950956937799043,0.6082535885167464,0.2966507177033493,118.0,42.0
5,2.5,4.0,locked,896,12876,0.07968313140726933,0.13560111835973904,0.0559179869524697,0.20579801701672903,0.13560111835973904,0.5664026095060578,0.31473214285714285,0.9010828156888561,-3.2431471773900284,0.6030149769805633,0.33281894083800007,0.08258928571428571,0.6205357142857143,0.296875,126.5,38.5
5,2.5,5.0,research,1610,23832,0.05501007049345418,0.0999496475327291,0.04493957703927492,0.17327973569614685,0.0999496475327291,0.5797247398455858,0.3,0.9420253114220793,-1.3368661528217451,0.5344512546437097,0.28016163380962045,0.07329192546583851,0.6186335403726708,0.30807453416149067,147.0,43.0
5,2.5,5.0,locked,865,12876,0.05498602050326188,0.08589624106865486,0.030910220565392978,0.17149834751394086,0.08589624106865486,0.5664026095060578,0.3017341040462428,0.9266684651294137,-2.4177399548008784,0.4522434696713235,0.2800320224308658,0.06589595375722543,0.6265895953757226,0.30751445086705204,146.0,39.0
5,3.0,0.5,research,4140,23832,0.3135280295401141,0.6957452165156093,0.38221718697549517,0.6887102300982673,0.6957452165156093,0.5318479355488419,0.6400966183574879,0.9126586298434324,-1.297937126617528,1.0536890534546424,0.21045207784277312,0.5973429951690822,0.28429951690821254,0.11835748792270531,14.0,24.0
5,3.0,0.5,locked,2190,12876,0.31057781919850885,0.6730351040695868,0.3624572848710779,0.682772269490914,0.6730351040695868,0.5189499844672258,0.6351598173515982,0.8954417847276327,-2.2407341868665926,0.9484976145221912,0.20757968011728883,0.5840182648401826,0.29360730593607304,0.1223744292237443,13.0,25.0
5,3.0,1.0,research,2567,23832,0.23409701242027525,0.5174555219872441,0.28335850956696884,0.5165326725737004,0.5174555219872441,0.5318479355488419,0.4951305025321387,0.9337585055239505,-1.338915222885235,1.0162803369012476,0.28966762249773065,0.4008570315543436,0.4078691079080639,0.19127386053759252,37.0,32.0
5,3.0,1.0,locked,1336,12876,0.22677850264057162,0.4820596458527493,0.25528114321217765,0.5120792021181855,0.4820596458527493,0.5189499844672258,0.49850299401197606,0.9285422329369449,-2.0452701474742185,0.8820615175401327,0.27795584477917473,0.38248502994011974,0.4184131736526946,0.19910179640718562,36.0,30.0
5,3.0,1.5,research,2044,23832,0.18437395099026518,0.393462571332662,0.2090886203423968,0.41322613805896036,0.393462571332662,0.5318479355488419,0.425146771037182,0.9279149131902916,-1.6382169890725258,0.9306576834714215,0.3243042364674827,0.28228962818003916,0.476027397260274,0.24168297455968688,63.0,40.0
