tf,k,stop_atr,tp_r,block,n,pf,pts,R,win,hit_tp,hit_sl,flat,t_tp,t_sl,t_tp_med,t_sl_med,t_flat
15,0,0.75,1.0,locked,3125,0.8958006557949796,-1.3160165264664268,-0.06478238248694085,0.49248,0.45568,0.46144,0.08288,10.73876404494382,10.41747572815534,7.0,6.0,5.216216216216216
15,0,0.75,1.5,research,5108,0.8700412725656529,-1.3410596267589452,-0.09113387522420266,0.4032889584964761,0.35454189506656225,0.5503132341425215,0.09514487079091621,16.59525124240751,11.823906083244397,12.0,7.0,6.726337448559671
15,0,0.75,1.5,locked,2651,0.9110442687349797,-1.3355581802109848,-0.05749526767916839,0.4058845718596756,0.35722368917389663,0.5454545454545454,0.0973217653715579,16.930306230200635,13.063623789764868,11.0,7.0,9.131782945736434
15,0,0.75,2.0,research,4493,0.8889015298953454,-1.2533981581498406,-0.08651055102855851,0.3485421767193412,0.2877809926552415,0.6036056087246828,0.10861339862007567,23.31167826759474,13.794616519174042,16.0,8.0,10.938524590163935
15,0,0.75,2.0,locked,2295,0.9080195852852562,-1.5172057629907059,-0.07296119503537098,0.3442265795206972,0.2823529411764706,0.6061002178649237,0.11154684095860566,24.049382716049383,15.746225736879943,17.0,8.0,13.1875
15,0,1.0,1.0,research,4736,0.8884696847320469,-1.246147436118588,-0.06802868502397408,0.49197635135135137,0.44552364864864863,0.45291385135135137,0.1015625,15.997630331753555,15.326340326340326,11.0,10.0,8.887733887733887
15,0,1.0,1.0,locked,2445,0.9469146611876034,-0.8610713195570248,-0.04526047669188817,0.49611451942740287,0.44498977505112475,0.4470347648261759,0.10797546012269939,16.719669117647058,16.980786825251602,11.0,11.0,11.651515151515152
15,0,1.0,1.5,research,3912,0.9125350617876269,-1.1403402417732098,-0.061787192349390056,0.4102760736196319,0.34432515337423314,0.5311860940695297,0.12448875255623722,25.55530809205642,18.342155919153033,18.0,11.0,14.256673511293634
15,0,1.0,1.5,locked,2004,0.9068926648083733,-1.7992004457249788,-0.06701992226335772,0.40219560878243515,0.3323353293413174,0.5379241516966068,0.12974051896207583,26.44744744744745,20.758812615955474,17.5,12.0,16.676923076923078
15,0,1.0,2.0,research,3377,0.9181298745785136,-1.1646181474819988,-0.06400085348344847,0.3571217056559076,0.27183891027539236,0.5836541308854012,0.1445069588392064,36.992374727668846,20.84830035514967,29.0,12.0,19.39344262295082
15,0,1.0,2.0,locked,1741,0.921947205989333,-1.6218974934261585,-0.052026258222197676,0.3607122343480758,0.2659391154508903,0.5824238943136129,0.15163699023549684,38.874730021598275,22.70414201183432,27.0,13.0,21.651515151515152
15,0,1.5,1.0,research,3186,0.9318084106196215,-1.0702517665106976,-0.04282919735661545,0.4956057752667922,0.41964846202134337,0.4265536723163842,0.15379786566227244,29.7621540762902,27.94186902133922,20.0,19.0,18.824489795918367
15,0,1.5,1.0,locked,1629,0.9244617661438808,-1.7561316836335412,-0.047008499712121676,0.4868017188459177,0.41006752608962554,0.42786985880908535,0.16206261510128914,31.122754491017965,31.124820659971306,21.0,20.0,21.59469696969697
15,0,1.5,1.5,research,2551,0.9238391259915031,-1.3779250377964045,-0.049821172455903256,0.4198353586828695,0.306546452371619,0.502156017248138,0.19129753038024305,47.84143222506394,33.20062451209992,38.0,23.0,26.729508196721312
15,0,1.5,1.5,locked,1301,0.9699614497279031,-0.7815280646884136,-0.019292916047614184,0.4335126825518832,0.30822444273635663,0.4888547271329746,0.20292083013066872,48.18453865336658,36.4496855345912,35.0,22.0,32.446969696969695
15,0,1.5,2.0,research,2238,0.9488439455402067,-0.9940115950907716,-0.04041259820059266,0.37935656836461124,0.23681858802502234,0.5442359249329759,0.21894548704200179,63.35283018867924,37.785714285714285,53.0,25.5,33.457142857142856
15,0,1.5,2.0,locked,1122,0.956170440242296,-1.2340176799895202,-0.04520240006565602,0.3805704099821747,0.22281639928698752,0.5409982174688057,0.23618538324420676,63.18,43.02965403624382,52.0,28.0,40.81509433962264
