feat,fam,dir,n,thr,mfe,mae,mfe_pts,mae_pts,atr_pts,ratio,tf,win,hz,base_mfe,base_mae,base_n
bar.gap_atr,bar,low,4767,-0.02448894315278163,2.0630927227202114,2.147670920359499,23.59639186070904,25.432452276064613,9.907731083620783,0.9606186418796739,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
bar.ret1_atr,bar,high,4767,0.6130313735623591,1.974902918955165,2.029167332779433,30.42091462135515,31.30464652821481,13.999737144932922,0.9732577925202749,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
bar.ret1_atr,bar,low,4767,-0.6116084509753826,1.9953153826838594,2.0963562979133377,31.098856723306064,33.13981539752465,14.046441666593623,0.9518016496861473,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
bar.ret3_atr,bar,high,4767,1.100929948689698,1.9380840680579496,2.0023403116497893,29.632997692469058,30.806534508076357,14.027337081947591,0.9679094291724583,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
bar.ret3_atr,bar,low,4767,-1.0407293269634876,1.8892599692439924,2.107363011222561,30.235053492762745,34.169760855884206,14.391926895998596,0.8965042848255941,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
vlm.rel20,vlm,high,4767,2.003363576435225,2.221370584262183,2.454197930495975,35.70038808474932,39.38955317809943,15.393916790546115,0.9051309825745231,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
vlm.rel20,vlm,low,4767,0.8870344882411545,1.636966271034745,1.6597788086997378,26.446874344451437,26.66897419760856,14.255779790097236,0.986255676030191,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
vlm.rel100,vlm,high,4767,5.034767921193614,2.0405756331029963,2.2778172894504203,40.13446612125026,44.00382840360814,19.228976563267032,0.8958469331819566,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
vlm.rel100,vlm,low,4767,1.4419659649728418,1.8062033293500195,1.8002085655516147,18.638346968743445,18.78539962240403,9.46132378440628,1.0033300384817179,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
vlm.trend,vlm,high,4767,3.2195553762591413,1.9856233627399784,2.2203999724488868,39.910897839311936,43.791011118103626,19.48979806528895,0.8942638206530095,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
vlm.trend,vlm,low,4767,1.1631981555587732,1.6920692130964237,1.706921939639008,17.181141178938535,17.673484371722257,9.387431079071455,0.9912985320548838,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
vlm.effort,vlm,high,4767,0.6512932463436858,1.7388999347529324,1.7981326487425346,27.98636458988882,29.24318229494441,14.235849011803465,0.9670587628610021,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
vlm.effort,vlm,low,4767,0.14377339520598495,2.06265431276938,2.1249766845463935,29.793266205160478,31.68612334801762,13.339402519770783,0.9706715032544853,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
vlm.obv_slope,vlm,high,4767,0.271052436774769,1.9413807735369863,2.1135444471209834,29.071638346968744,32.70185651353052,14.249778989424144,0.9185426765836346,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
vlm.obv_slope,vlm,low,4767,-0.24533637478151146,1.823629206755154,2.094957260877657,29.810992238305012,34.239720998531574,14.727897339884542,0.8704851601560437,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
vlm.mfi14,vlm,high,4767,67.62679596867395,1.9729963249950064,2.0971503771893483,28.94661212502622,31.21821900566394,13.481663407841395,0.9407986887613009,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
