kind,tf,ent,exn,stop,tp,piv,win,sess,sh,eh,flat,r_pf,r_retdd,r_n,r_pyr,r_tot,r_dd,l_pf,l_retdd,l_tot,l_n
PF,30,39,46,3.765871375006502,0.0,45,900,False,8,16,True,1.6739170287110547,5.342352754013355,113,58.793803418803414,23.039430641626506,835.0608303060646,0.7733706169427429,-0.4165442913956591,-8.906485547958908,71
PF,15,18,29,3.658657424039076,4.0,30,300,False,11,18,True,1.0388072097928385,0.6539293713810072,441,229.45192307692307,3.052088794125112,862.840091482996,1.3195193808290577,4.126698882079637,12.828379617469711,216
PF,15,38,40,3.989641348499774,3.0,30,600,False,11,18,True,1.2334226788894422,4.050985917070973,492,255.98717948717947,19.09199004261965,854.9864838985791,1.0143641025179642,0.14322119449130002,2.0927244769882085,245
PF,15,25,39,3.6395452046223555,0.0,120,900,False,8,17,True,1.7975472272969435,7.634989397066593,169,87.93055555555556,22.518071468327275,549.4704639729462,1.1105048751446789,0.29576420222794925,2.0185973982232572,86
PF,15,45,47,3.8572559693296133,0.0,120,450,False,7,19,True,2.391524007090109,5.906412905154858,94,48.90811965811966,20.448009507687672,680.4990265437799,0.6301234580068956,-0.7357665561720885,-6.02463831373974,55
PF,15,47,40,3.6403727304978215,0.0,120,450,False,7,20,True,2.2292119552284735,5.595627591095541,94,48.90811965811966,17.40041816585573,627.7831765316868,0.7642435806086214,-0.4616116145865126,-3.5910019518874843,55
PF,15,56,50,3.3115557522986037,0.0,45,450,False,6,17,True,1.51119325781539,3.9558355686009676,188,97.81623931623932,19.5774949723932,906.8706205165604,1.2534395503201365,0.9476546049658815,7.055905366960534,97
PF,15,46,40,3.9822323933170733,0.0,120,450,False,8,20,True,2.179460237712494,5.349450647168916,95,49.4284188034188,17.33383888931967,655.7862929656484,0.7651184149773876,-0.46633186847456387,-3.6619906255916037,55
PF,15,52,46,3.9563176094435577,3.0,120,1200,True,7,18,True,1.4763054379980762,4.1357601666883275,213,110.82371794871794,13.4882813193704,592.1377697537589,1.059842482492089,0.2231374207411378,0.888285252715687,97
PF,15,39,45,3.76365736391552,8.0,120,450,False,5,17,True,1.8888163345849913,4.652922067047636,111,57.753205128205124,14.477790124014081,604.8264969380454,0.8663383794622944,-0.3758958006793522,-2.3967269894632395,61
PF,15,51,41,3.6490582772230398,0.0,120,900,False,6,19,True,1.8268405567136285,6.324621946647523,127,66.07799145299145,18.174541079952682,543.5965066143303,0.7916351532317661,-0.44804082021223274,-4.319090511207256,70
PF,15,39,29,3.952033126209293,8.0,120,1200,False,12,17,True,1.4061364092955846,4.148617208312409,197,102.49893162393163,12.535897397256544,565.8299999999983,1.2391881214817733,0.6946372221544136,4.874727273225018,103
PF,15,56,47,2.687554439769137,4.0,120,450,False,9,19,True,1.440151021094184,2.3709875273423773,110,57.23290598290598,7.494797920806126,596.0482579284758,0.9689757634262064,-0.07938109717436521,-0.8180157595708671,61
PF,15,29,48,3.184216436227593,0.0,120,450,False,10,18,True,1.9681969547543192,4.138676600602327,112,58.27350427350427,17.45527868457887,833.7335709205621,0.7542256781430686,-0.6534608620174337,-4.326889288404117,70
PF,15,45,30,3.574680087573065,0.0,60,150,False,12,14,True,1.7150837426223908,2.825827503683079,108,56.19230769230769,14.213433188306286,908.3918165450423,1.5085441590265745,1.8075088658282095,6.4321182387995925,62
PF,15,41,50,3.805674889135369,0.0,120,1200,False,8,13,True,1.5742034776893996,4.732194024833376,157,81.6869658119658,16.64442396198763,677.3816767994517,0.9112026647872853,-0.22133767619793346,-2.2221651472912654,80
PF,15,30,41,3.483687341763775,4.0,120,450,False,6,11,False,1.6436754597926444,4.945640860226729,142,73.88247863247862,11.987873331537791,465.4908354935068,0.9955410245623902,-0.01501263384035219,-0.36548535968730983,81
PF,15,45,44,3.650297636504025,0.0,60,450,False,9,14,True,1.7512905772728882,4.27926010029696,160,83.24786324786325,21.274660346137175,969.7308538567895,1.7858533497344902,3.0196155833742457,17.64347730858025,92
PF,15,54,34,3.8133181112193144,0.0,120,450,False,9,20,True,1.9232810023961064,4.388287948595012,85,44.225427350427346,12.21573811113922,544.5818295843322,0.8106250095484946,-0.3684202725267679,-2.9000637981225403,52
PF,15,45,27,3.920648379882998,0.0,120,450,True,4,19,True,2.039101970677408,3.730261500869131,92,47.86752136752136,12.73916243966743,668.5326355380321,0.9804879554846798,-0.049242929742154794,-0.5905288291429944,49
PF,15,40,45,3.595224418896658,8.0,120,450,False,8,20,False,1.915206515107647,4.840821146053177,111,57.753205128205124,14.701397955469822,589.4238863252923,0.8809538714570156,-0.3085158094228422,-2.1506208517127603,60
PF,15,39,46,3.7694104370349377,0.0,120,450,False,5,18,True,2.3793410142567626,5.8751970869319505,102,53.07051282051282,21.275438557700028,717.0293321118057,0.68430534498406,-0.6873329539738854,-5.225821332265596,59
PF,15,20,47,3.501210589491611,0.0,60,450,False,6,20,True,1.467285902828983,3.6812822906757066,224,116.54700854700855,20.341493720739855,1036.0142563673912,1.7816028967834838,3.425147452428121,21.11997595553663,120
PF,15,41,46,3.3841911617700964,0.0,90,450,False,5,19,True,1.9185290607340335,7.179741558626224,128,66.59829059829059,19.911655047705086,538.0325008715115,1.45917673424549,1.6903920428143018,8.745917270757626,72
PF,15,44,48,3.1361889576737587,4.0,120,600,False,5,16,True,1.6369449028835483,4.4186155251389865,144,74.92307692307692,12.881522516677837,551.9763766111427,0.8131230905751545,-0.5249540372262113,-3.7674660409407528,78
PF,15,31,50,1.5529718600717168,0.0,60,600,False,7,19,False,1.3252622738233961,2.341911836171179,266,138.39957264957263,11.36103410207407,941.5442345944425,1.40568372076468,1.476881652881208,9.095751724771853,138
PF,30,37,40,3.320138735365665,3.0,120,450,False,4,17,True,1.4555190813120962,2.3576534331182044,113,58.793803418803414,10.144878370160713,843.2446957794359,0.7429394096993772,-0.6420523877442349,-4.3355851617489565,51
PF,15,37,37,3.9165581426783858,0.0,120,450,False,7,18,True,2.196383403717638,5.579233079894636,103,53.590811965811966,18.211782920332578,657.2587015473415,0.9228854621173185,-0.2430602309938619,-1.4028161999215971,62
PF,15,38,43,3.862283373884477,0.0,120,450,False,4,19,True,2.1409563324363132,5.079485777807499,102,53.07051282051282,17.692675868896153,712.5344900697326,0.7153246508940009,-0.6548461145273473,-4.681207956694359,60
PF,15,16,24,3.781981733056917,0.0,120,300,False,12,18,True,2.084919808438222,5.146385269468998,129,67.11858974358974,18.91984792820186,710.3899771933601,1.1391926012681926,0.6133212237497733,1.7583717964194623,75
PF,15,52,45,2.903664438426214,0.0,120,900,False,12,11,True,1.7263286439994363,4.002384641376091,132,68.67948717948718,17.828469260004226,813.1860675973671,0.6992339465141638,-0.5977238992666738,-6.198019805091467,73
PF,15,33,42,3.7333683358210252,8.0,120,600,False,10,12,True,1.4048162842599012,2.825656221039686,138,71.80128205128204,8.607384687642936,601.3663444397683,1.100976065265127,0.30813466655007754,1.4933735025594057,76
PF,15,38,31,3.8472812588872682,0.0,120,600,False,12,16,True,2.06993966480929,5.870337733752639,121,62.95619658119658,18.884987148020965,643.380821577777,1.0906219344460797,0.23797210687320186,0.9776704622173282,66
PF,15,30,34,3.91226077696225,0.0,45,300,False,11,14,True,1.4316737738556164,4.6761124334885835,208,108.22222222222221,16.68400379966522,692.2514814295932,1.5792386311076174,2.538744170466474,14.714645749536059,103
PF,15,30,40,3.855187780498724,6.0,30,450,False,7,20,True,1.2664766252392008,4.238891382057565,372,193.55128205128204,18.87582678220234,847.659824201658,1.3249951965946478,2.7590729187329774,13.803262103751585,182
PF,15,26,43,3.735009242300869,0.0,30,450,True,9,16,True,1.1211861037349429,1.4393395063296024,207,107.70192307692308,5.703492875029847,672.8277336343608,1.5207217849034191,3.6995405155335934,10.201676105013219,105
PF,15,29,36,3.780880592003786,0.0,120,450,False,6,13,True,2.0287521126643813,4.964330544282447,113,58.793803418803414,17.29816368205379,701.3155648228317,0.9555724092962832,-0.15089687460417342,-0.9626423210606234,70
PF,15,40,41,3.968269915198527,0.0,45,450,False,11,20,True,1.4479012356771244,4.588523121252138,226,117.58760683760683,19.150040681092253,811.362718972332,1.4198181335253806,1.6367709663750227,13.05400363573855,112
PF,15,36,31,3.9571483389178748,0.0,120,1200,False,8,19,True,1.6957866138211786,6.470725916891375,179,93.13354700854701,19.739563950899147,580.4199999999978,1.2823950951788796,0.7323132485796138,5.336213646071693,92
PF,15,42,47,3.6427753762770747,4.0,120,450,True,9,18,True,1.4764412288307713,2.2951973324771204,92,47.86752136752136,5.72857174457214,489.73944857252957,1.0260333286369658,0.06577245164761668,-0.019270810629775037,42
PF,15,44,42,3.723320891471376,0.0,150,450,False,8,17,True,1.654284657871005,2.4498576483988233,82,42.664529914529915,9.362209754662496,858.4499427718174,0.7752142698180747,-0.40479453440377317,-2.998146401253645,42
PF,15,52,50,3.348510767736923,6.0,120,1200,False,7,19,True,1.4451939862521221,2.4345862992744465,183,95.21474358974359,15.727593927469432,1108.3388806468975,0.8632044330253255,-0.3755130927843022,-3.9592541317367167,96
PF,15,42,50,3.88058356480905,4.0,120,450,False,8,19,True,1.70390982903064,5.297115385659724,128,66.59829059829059,12.76057656441087,462.22479501523344,0.8363966553588916,-0.49698917466238884,-3.0107385731747276,68
