sweep_bar,inv_bar_1m,gap_bars,level,src,side,pen_atr,sweep_ext,atr,zlo,zhi,tf,defn
983127,983139,2,25498.0,london,-1,1.274610241317685,25505.5,5.8841516856529745,25496.75,25500.75,5,close
983950,983984,6,25442.75,60m,-1,0.49824256930020633,25444.75,4.014109036907561,25441.0,25441.25,5,close
984174,984189,3,25509.25,60m,-1,0.5441091944726876,25512.25,5.513599164423953,25512.25,25516.75,5,close
984257,984264,1,25453.5,asia,-1,4.311053807743878,25492.75,9.104502460511126,25479.75,25481.0,5,close
985276,985314,7,25350.5,60m,-1,0.3995895159735677,25352.0,3.7538522409562494,25351.25,25357.25,5,close
985747,985764,3,25521.25,prevday,-1,0.3072045902036519,25523.25,6.5103193890239766,25516.0,25518.75,5,close
986215,986234,3,25600.75,prevday,-1,8.254353756273662,25619.75,2.301815570426599,25598.0,25604.5,5,close
987651,987674,4,25605.75,london,-1,1.122274645102919,25608.5,2.450380583754353,25602.0,25604.0,5,close
988346,988369,4,25599.0,london,-1,0.23879937930235118,25602.0,12.562846724160067,25603.25,25610.5,5,close
988420,988434,2,25368.0,london,-1,19.50768784441545,25603.0,12.046532724649603,25556.75,25564.5,5,close
989335,989374,7,25112.0,asia,-1,0.2187709386049798,25113.5,6.856486558794954,25181.25,25181.5,5,close
989932,989954,4,25202.25,60m,-1,0.22162874065189264,25204.75,11.280125459570673,25164.25,25173.75,5,close
990448,990464,3,25221.5,prevday,-1,3.6412675089460524,25242.75,5.835879936805497,25234.5,25237.0,5,close
991174,991214,8,24982.5,london,-1,0.41953548788456335,24990.5,19.06870868144825,24962.75,24964.25,5,close
992111,992119,1,25176.5,asia,-1,0.3046272374942581,25179.5,9.848101649336419,25160.5,25164.25,5,close
992224,992279,11,25204.0,prevday,-1,4.1494815719582006,25232.5,6.868327887657165,25221.75,25225.5,5,close
992592,992609,3,25300.75,asia,-1,1.5045363233927025,25324.25,15.61943014244277,25280.0,25293.75,5,close
993475,993484,1,25284.75,asia,-1,1.1166194131030767,25291.75,6.268921996033594,25279.25,25280.5,5,close
995252,995309,11,25059.25,london,-1,0.4447749530422386,25075.0,35.41116668614269,25138.0,25146.25,5,close
995701,995759,11,25312.25,prevday,-1,1.313764614263566,25331.0,14.271963026276484,25313.75,25314.5,5,close
