draw,cost_rt,slip,R_res,R_lck
259,0.35184669691095766,0.07538232185511744,-0.0693808803858889,0.12051213462847202
260,0.38833516893311887,0.08206100231372199,-0.0823130701289406,0.11253852196549984
261,0.3968030940909762,0.06903064795699167,-0.07987084092657674,0.11420644875613686
262,0.553574016858865,0.09929695541635544,-0.13889898344182672,0.07973316084135122
263,0.32809281460787937,0.09300476182433277,-0.06924285259312864,0.1203741982104602
264,0.3235829374969736,0.00965429793448942,-0.02279688814196154,0.16844699702528154
265,0.2762275230249822,0.03743610372465307,-0.02819061511752129,0.15695242574712107
266,0.45058858087157194,0.08232126006194115,-0.10017849659224212,0.10163609210242393
267,0.5111665378002997,0.03795882878381786,-0.09653053632783336,0.11552390991821479
268,0.2317448863303186,0.043443607751105874,-0.022414231855449093,0.1559041202783515
269,0.5058367845753718,0.09411483170302323,-0.12017576471332314,0.08923381654416883
270,0.22399975821867502,0.04424470035052322,-0.020491970287876027,0.15706414965231016
271,0.5769064427052686,0.05324812367283216,-0.1258826068386026,0.09298994865528443
272,0.37518630094961297,0.09839585120875449,-0.08462787316695454,0.11089871852683995
273,0.3228693368490965,0.08250546708928842,-0.06379423578158551,0.12383013932234169
