draw,n_res,R_res,pf_res,n_lck,R_lck,pf_lck
254,394,-0.06542497657623066,0.87589788924895,220,0.10263044155333724,1.2202239688366774
255,320,-0.043058949475097544,0.9198803921476371,190,0.1437317714897914,1.318832245178188
256,316,-0.0388440294178127,0.9277950669333676,181,0.12650746368536386,1.2870280231489688
257,349,-0.05783318957749632,0.8960237052485845,210,0.1271377487468218,1.2764264487948307
258,358,-0.10328325142609715,0.8208827475768684,204,0.11876901306190321,1.2495212512476204
259,356,-0.11433160066787634,0.7980917463270832,202,0.05865597128406117,1.116823727406316
260,369,-0.06699805221453928,0.8749561029882262,202,0.03943483916438994,1.080796545820901
261,446,-0.09913483314643187,0.8120008177596656,256,0.11922122858439974,1.2603357432809652
262,263,0.04955142384591126,1.0978055104695397,153,0.015798755497408005,1.0322184713644365
263,439,-0.11853628190820246,0.7859636399718596,251,0.17007051288760627,1.3816879922577237
264,360,-0.02492537606793309,0.9521959924376517,201,0.1104180552166193,1.2404854069098183
265,353,-0.05448807226115611,0.9014676995233477,199,0.04218705221675643,1.0863687369118107
266,288,0.0006078673594844943,1.0011373670908243,172,0.11586925734464905,1.2445480688475274
267,340,-0.0501247891796113,0.9109678075136729,199,0.10440261645043115,1.2122475017017904
268,362,-0.09318719718148927,0.8367547893432152,208,0.16505469683789598,1.3474302446717845
269,344,-0.1524477859938057,0.7281972225596446,196,0.1318962735049277,1.2842926831717518
270,359,-0.08544467326232885,0.8335620148073281,214,0.19517573683612943,1.465603889438405
271,385,-0.06252656741294911,0.8773556878519361,218,0.0651295535970682,1.1430973736901107
272,396,-0.033991405679428405,0.9359385443320666,226,0.058600407498872235,1.1183421371153723
273,405,-0.06252003595126887,0.8820739006125482,232,0.15620744240365084,1.3611905075473967
274,372,-0.13739997345901436,0.7466395026674528,218,0.1410588227218194,1.316583747903641
275,384,-0.0444216648943058,0.9176366130144048,228,0.0979609859870298,1.2051520699691658
276,449,-0.14373718589173762,0.7492934621491826,251,0.20891899541473583,1.451520230796686
277,345,-0.03377860326293404,0.9391510795053565,202,0.13041940692344464,1.2750202752695863
278,364,-0.07355381620294468,0.8632210350489412,210,0.13375461243349487,1.2878763594574751
279,342,-0.0357835605375306,0.9357054454718018,201,0.10885289145716337,1.231520705038321
280,321,-0.10878328492344545,0.8047596171190807,180,0.10630935026069827,1.2321397848164874
281,399,-0.1556464615085573,0.7176122372221853,227,0.17985173094780876,1.4230911224160947
282,415,-0.15893750831053874,0.7153338364216476,229,0.15365668159279086,1.3451169873816906
283,337,-0.038907348381762207,0.9280346521932755,197,0.11333004934662626,1.2479396809578336
284,335,-0.045975438049011295,0.9104450913114137,190,0.035196273449804145,1.075592187822384
285,376,-0.051172156314564385,0.9038131516038771,220,0.1289183577615245,1.2743708427608595
286,386,-0.0619541142166026,0.8808437702629908,206,0.058143284581222476,1.120069971203063
287,401,-0.047268662718531106,0.9131985314090801,230,0.14252523229369865,1.3043312399615512
288,316,-0.04690594463397089,0.9112398044188331,187,0.043717962663303,1.0908589434485831
289,391,-0.12089488857837548,0.782123996665789,224,0.1301170201230726,1.276009411643115
290,358,-0.05367719167036334,0.8959544769061647,204,0.056256034498341004,1.1227585010822496
291,307,0.02206085010323565,1.0450250148161977,175,0.06674117590531545,1.1485576156423063
292,395,-0.06005142317659454,0.8896809777887184,224,0.06860729453592332,1.1367562035583565
293,439,-0.09817329909670573,0.8193811567160247,250,0.16559682951980265,1.3617737758925106
294,292,-0.03868472135835932,0.9282030425361097,168,0.08851562134856028,1.1835313413641024
295,280,-0.019412221253291204,0.9624042748200436,170,0.05884062982571884,1.1253227013363076
296,289,-0.032024045505489186,0.9371511929331591,171,0.12393161963514018,1.2949972789497304
297,328,-0.010585683397446732,0.9795154284722494,184,0.11271555928940265,1.2543778380606925
298,359,-0.061302115633285796,0.8847936250755771,196,0.04272177655813595,1.0877431213929953
299,347,-0.037527863994572044,0.9278215563688397,195,0.07286741193908407,1.1539486620420005
