ticks,draw,n_res,R_res,pf_res,n_lck,R_lck,pf_lck
0.5,112,469,-0.07634553694914246,0.8599342670084398,257,0.08546977164565957,1.1811696082387786
0.5,113,455,-0.05264644502888645,0.8981262803182406,241,0.0793197730132168,1.1683319701547075
0.5,114,468,-0.060380463540592386,0.8889248601618817,253,0.11130745150721234,1.2383527857390997
0.5,115,451,-0.04589745407458646,0.9144860066100241,252,0.11467720456016034,1.2476415370148148
0.5,116,467,-0.07630373297970418,0.8617250653781184,262,0.10278005226274309,1.2191412081655655
0.5,117,463,-0.06596057238036834,0.8788902096817393,249,0.10110897037690243,1.2153727835296975
0.5,118,464,-0.05826663296581354,0.8927455026516825,256,0.15897335839941007,1.3501816297104878
0.5,119,446,-0.015043536397891528,0.9717373794041491,258,0.10641346664725168,1.2264861146645296
1.0,0,470,-0.08019274512840635,0.8520412576360988,257,0.09884546597074899,1.2112886779446337
1.0,1,464,-0.03413296503859885,0.9353704094914316,259,0.11722367596555806,1.2562599153058875
1.0,2,457,-0.06253021909992706,0.884079841763753,246,0.11416176446279841,1.2514766262124402
1.0,3,459,-0.05247062334664541,0.9029521186651971,247,0.1480136439036884,1.3268087736689282
1.0,4,446,-0.03818413389215353,0.9269729419271884,256,0.1144648096209032,1.247237116172842
1.0,5,447,-0.02220512390870526,0.9580416926769875,253,0.1320222072702741,1.2867311551981901
1.0,6,456,-0.0731948773106347,0.8659336015982161,255,0.09514597352623208,1.2020850299601138
1.0,7,453,-0.0690179450545278,0.8715346572762069,253,0.07587348606694377,1.1621193690291378
1.0,8,449,-0.06497428762632664,0.8786044930376361,250,0.16818562595607156,1.3680793600462637
1.0,9,463,-0.042288964627617394,0.9216460538101328,253,0.088910207504888,1.1889591402612312
1.0,10,456,-0.06248547556662796,0.8837776425598758,242,0.1748536881764017,1.3937045729083382
1.0,11,452,-0.06730002207722362,0.8763352076739459,254,0.15116838971070376,1.3440190280904074
1.0,12,458,-0.06526478675432786,0.8785738480797161,262,0.13644020185272898,1.3010719164000002
1.0,13,457,0.0034524550983177525,1.0065781046963964,250,0.1155557852631824,1.247528002854206
1.0,14,461,-0.07394182088513056,0.8659962561349864,244,0.12547317388768947,1.2745705574613169
1.0,15,454,-0.059791341692576126,0.8915256778112972,251,0.11610858570873181,1.2512649668069844
1.0,16,451,-0.021559073817111606,0.9589828027299864,248,0.11780089234721826,1.2554424516156975
1.0,17,460,-0.02520463054072318,0.9520075019179267,253,0.18393929387895522,1.4135276273272834
1.0,18,458,-0.08494837032778167,0.8429176245264769,256,0.19256877792400207,1.433449340408991
1.0,19,448,-0.03513329820096369,0.9336453247105371,248,0.13196584620959426,1.2885306700113965
1.0,20,467,-0.05762798263409814,0.8937025550668042,260,0.15111260408783941,1.333468055524824
1.0,21,466,-0.04019066237008207,0.9250739255580136,254,0.16530805493093378,1.3635682045664153
1.0,22,460,-0.0733879042682747,0.8632650509990017,245,0.18626692173834025,1.4215220312177546
1.0,23,452,-0.034676418427453094,0.9347183866528371,255,0.14125113213519652,1.3106285781070355
1.0,24,465,-0.041818778003098904,0.9222393347422847,247,0.08037633417051533,1.1714505120390435
1.0,25,453,-0.0601007649815091,0.8893479011841736,251,0.08592259870658926,1.1826278924382474
1.0,26,463,-0.07323311728246872,0.868204547120749,251,0.09452786076082813,1.202124776223465
1.0,27,464,-0.07222697351602471,0.8670554114367933,252,0.10612616989628436,1.2325018046785483
1.0,28,466,-0.0719704746434948,0.8665102597112943,254,0.13542244223421596,1.2908577775705166
1.0,29,454,-0.039513168182991894,0.9260010792550745,251,0.1011147851174852,1.217394210351843
1.0,30,449,-0.045019580666874934,0.9147853865733099,253,0.10828402965454033,1.2302481605546904
1.0,31,451,-0.075550773686559,0.8609139243455991,255,0.12988498391370348,1.2874704854337506
1.0,32,449,-0.0620414143129393,0.8832037675790705,256,0.11554809100901939,1.248492326333403
1.0,33,455,-0.06938862417449868,0.872527031943401,247,0.1315787439752571,1.2878849656073201
1.0,34,465,-0.07297068098222281,0.8670925429110722,251,0.06871614455926588,1.1453504045618452
1.0,35,460,-0.02311217152462509,0.9576202179063422,256,0.13767208908723896,1.2981242788946532
1.0,36,457,-0.009272896161551488,0.9823173355282846,250,0.19682831777811707,1.4471080401977725
1.0,37,466,-0.04543859822859399,0.9156039524903947,244,0.14471419699042795,1.321965088063195
