sym,rsi,stoch,k,d,os,ob,reset,n,net,ex_crisis
NAS,14,7,5,3,10,90,16,1177,0.27990238357343195,-0.31833046817795047
NAS,14,7,5,3,20,80,4,1186,-0.596780990598068,-1.1354043039888666
NAS,14,7,5,3,20,80,8,1282,-0.4780764109054374,-0.8829904489616005
NAS,14,7,5,3,20,80,16,1657,-0.2418383687869482,-0.6638282931088691
NAS,14,7,5,3,30,70,4,1503,-0.5634926110927604,-0.8779914047434751
NAS,14,7,5,3,30,70,8,1598,-0.6501226615568563,-1.024894923046301
NAS,14,7,5,3,30,70,16,1884,-0.35708602312231535,-0.8584857471897286
NAS,14,14,1,3,10,90,4,1871,-1.132199731427824,-0.764399864402438
NAS,14,14,1,3,10,90,8,2382,-0.7899389729363101,-0.6149284069061028
NAS,14,14,1,3,10,90,16,3189,-1.0185030953266125,-0.4244982784617842
NAS,14,14,1,3,20,80,4,2155,-1.197946723625194,-1.078286074895883
NAS,14,14,1,3,20,80,8,2649,-0.875170103314346,-0.6705357264641464
NAS,14,14,1,3,20,80,16,3427,-1.0807894782326966,-0.5414306799850299
NAS,14,14,1,3,30,70,4,2424,-0.9771883381594703,-0.9385405153563678
NAS,14,14,1,3,30,70,8,2921,-0.8564167564531944,-0.5173366335031041
NAS,14,14,1,3,30,70,16,3601,-1.1160522832215052,-0.5989174478427423
NAS,14,14,3,3,10,90,4,959,-1.0849454169116943,-1.2843461133965235
NAS,14,14,3,3,10,90,8,1109,-0.9385491426434928,-1.2416109053587672
NAS,14,14,3,3,10,90,16,1557,-0.6331723669735301,-0.44645442425883225
NAS,14,14,3,3,20,80,4,1311,-0.706414974679284,-0.9243830364471255
NAS,14,14,3,3,20,80,8,1507,-0.12236342303893995,-0.697977460953352
NAS,14,14,3,3,20,80,16,1952,-0.19337931198917258,-0.40958627112360535
NAS,14,14,3,3,30,70,4,1543,-0.29464415367476215,-0.6817244525910191
NAS,14,14,3,3,30,70,8,1729,0.10225639472389635,-0.65447833965241
NAS,14,14,3,3,30,70,16,2119,-0.6032992333878142,-0.896156472039139
NAS,14,14,5,3,10,90,4,589,-0.08327100336188974,-0.6400143499993243
NAS,14,14,5,3,10,90,8,640,0.11651179256341634,-0.832854019776357
NAS,14,14,5,3,10,90,16,925,0.8389739465563137,-0.4051096987978397
NAS,14,14,5,3,20,80,4,982,-0.6532313911710258,-1.2700698267032278
NAS,14,14,5,3,20,80,8,1070,-0.6915881711508571,-1.3878981574150961
NAS,14,14,5,3,20,80,16,1390,0.10108387764640114,-1.0341440985059547
NAS,14,14,5,3,30,70,4,1206,-0.735339226451932,-1.2400604162848146
NAS,14,14,5,3,30,70,8,1316,-0.3867316172395865,-0.9815627824987194
NAS,14,14,5,3,30,70,16,1613,-0.10041816988290647,-0.8797427170704846
NAS,14,21,1,3,10,90,4,1496,-0.8219130924792653,-1.1025042596563182
NAS,14,21,1,3,10,90,8,1946,-0.7400999082099203,-0.9447124455013808
NAS,14,21,1,3,10,90,16,2669,-0.7253851157980352,-0.5356183553813476
NAS,14,21,1,3,20,80,4,1812,-0.753700691074303,-1.0489645963034278
NAS,14,21,1,3,20,80,8,2262,-0.502625287332184,-0.6896848096389859
NAS,14,21,1,3,20,80,16,2988,-0.8110435797073772,-0.4617351740551241
NAS,14,21,1,3,30,70,4,2139,-0.8183654167023845,-0.9735701807679995
NAS,14,21,1,3,30,70,8,2576,-0.7902186333882262,-0.5385856966749526
NAS,14,21,1,3,30,70,16,3249,-1.0194213964636718,-0.6220982335318183
NAS,14,21,3,3,10,90,4,785,-1.0880359180441967,-1.7054740083232658
NAS,14,21,3,3,10,90,8,913,-0.33016410267011775,-1.1504568356065483
NAS,14,21,3,3,10,90,16,1294,-0.5184610260458703,-0.44078597345670195
NAS,14,21,3,3,20,80,4,1133,-0.08441096634639925,-0.7649769318505529
NAS,14,21,3,3,20,80,8,1283,0.4315400829385603,-0.45818099718446864
NAS,14,21,3,3,20,80,16,1687,-0.26585860349171175,-0.3383980442358705
NAS,14,21,3,3,30,70,4,1379,0.40893243149302166,-0.32473892928431825
NAS,14,21,3,3,30,70,8,1544,0.7367043743844753,-0.08613298645118266
NAS,14,21,3,3,30,70,16,1921,-0.283600105629777,-0.38318404649893456
NAS,14,21,5,3,10,90,4,503,-0.5208430423498858,-0.49267962180681973
NAS,14,21,5,3,10,90,8,552,-0.6681953837462291,-0.8201324373193969
NAS,14,21,5,3,10,90,16,794,0.28993882176951963,-0.2647736452521675
