tf,design,stop,tgt,be,be_off,arm,tr,n,R,pts,pf,win,sharpe,p_flat
3,S1 opening drive,2.0,1.0,0.0,0.0,1.0,1.0,729,-0.17568642393205283,-2.422636923240948,0.7026175447345667,0.4828532235939643,-2.691632975649006,0.0
3,S1 opening drive,2.0,1.0,1.0,0.25,0.0,0.0,729,-0.17568642393205283,-2.422636923240948,0.7026175447345667,0.4828532235939643,-2.691632975649006,0.0
3,S1 opening drive,2.0,1.0,1.0,0.25,1.0,1.0,729,-0.17568642393205283,-2.422636923240948,0.7026175447345667,0.4828532235939643,-2.691632975649006,0.0
3,S1 opening drive,2.0,1.5,0.0,0.0,0.0,0.0,661,-0.19635261467040716,-2.472847255559471,0.7238467604544054,0.37821482602118,-2.1909559812535786,0.0
3,S1 opening drive,2.0,1.5,0.0,0.0,1.0,1.0,699,-0.21575816135049114,-2.918776219545157,0.6439857961026111,0.4105865522174535,-2.9687899087007863,0.0
3,S1 opening drive,2.0,1.5,1.0,0.25,0.0,0.0,702,-0.21401080650826515,-2.902967932141909,0.6438353747196317,0.4686609686609687,-2.9686683501539,0.0
3,S1 opening drive,2.0,1.5,1.0,0.25,1.0,1.0,702,-0.21390143756892296,-2.9024640216824578,0.6439564441919091,0.47150997150997154,-2.9817904336206533,0.0
3,S1 opening drive,2.0,2.0,0.0,0.0,0.0,0.0,644,-0.1915952970647905,-2.4535467348814946,0.7545638547777385,0.3167701863354037,-1.8500071084982104,0.0
3,S1 opening drive,2.0,2.0,0.0,0.0,1.0,1.0,697,-0.19913059846168246,-2.623898422460837,0.6714249474377765,0.4103299856527977,-2.463092652809488,0.0
3,S1 opening drive,2.0,2.0,1.0,0.25,0.0,0.0,695,-0.19064607115632892,-2.48344903229211,0.6824135615422869,0.4676258992805755,-2.280900394691996,0.0
3,S1 opening drive,2.0,2.0,1.0,0.25,1.0,1.0,700,-0.20102699501009522,-2.6733522484117818,0.6653805663301888,0.4714285714285714,-2.5448653132616554,0.0
3,S1 opening drive,2.0,3.0,0.0,0.0,0.0,0.0,634,-0.21897928479037954,-2.4234793378455035,0.7501318373946869,0.2334384858044164,-1.4385836136082393,0.00473186119873817
3,S1 opening drive,2.0,3.0,0.0,0.0,1.0,1.0,696,-0.19145455795093622,-2.520710496769198,0.6836817297417239,0.4109195402298851,-2.2781111526842968,0.0
3,S1 opening drive,2.0,3.0,1.0,0.25,0.0,0.0,690,-0.1750382817936995,-1.9904895867762167,0.7073088339332483,0.4681159420289855,-1.5142001236271452,0.0
3,S1 opening drive,2.0,3.0,1.0,0.25,1.0,1.0,699,-0.19297167575904267,-2.552272055936072,0.6783672215334765,0.4721030042918455,-2.3347927072089245,0.0
3,S1 opening drive,3.0,0.0,0.0,0.0,0.0,0.0,556,-0.011027977505801563,-1.6840530888572836,0.9876700758396215,0.17805755395683454,-0.48264814790789484,0.18884892086330934
3,S1 opening drive,3.0,0.0,0.0,0.0,1.0,1.0,577,0.014066983332301872,0.6225887446161273,1.0254639238961993,0.44714038128249567,0.3121515414981345,0.0017331022530329288
3,S1 opening drive,3.0,0.0,1.0,0.25,0.0,0.0,577,-0.010328083827649041,-0.6425089783142094,0.9813215116590724,0.49566724436741766,-0.24712035316683242,0.07972270363951472
3,S1 opening drive,3.0,0.0,1.0,0.25,1.0,1.0,581,0.014525477906933015,0.6236137182918228,1.0262738598132164,0.49569707401032703,0.31522101894607657,0.0017211703958691911
3,S1 opening drive,3.0,1.0,0.0,0.0,0.0,0.0,592,-0.10534582323317579,-1.8782331641159382,0.8097650259572358,0.49493243243243246,-1.304466877139269,0.0
3,S1 opening drive,3.0,1.0,0.0,0.0,1.0,1.0,592,-0.10534582323317579,-1.8782331641159382,0.8097650259572358,0.49493243243243246,-1.304466877139269,0.0
3,S1 opening drive,3.0,1.0,1.0,0.25,0.0,0.0,592,-0.10534582323317579,-1.8782331641159382,0.8097650259572358,0.49493243243243246,-1.304466877139269,0.0
3,S1 opening drive,3.0,1.0,1.0,0.25,1.0,1.0,592,-0.10534582323317579,-1.8782331641159382,0.8097650259572358,0.49493243243243246,-1.304466877139269,0.0
3,S1 opening drive,3.0,1.5,0.0,0.0,0.0,0.0,565,-0.08337047129101673,-1.4462552014436532,0.8720049925564977,0.40530973451327434,-0.7828826543082037,0.0035398230088495575
3,S1 opening drive,3.0,1.5,0.0,0.0,1.0,1.0,579,-0.07566222836549737,-1.1274660133136118,0.8630355253412014,0.4473229706390328,-0.6823804304973297,0.0
3,S1 opening drive,3.0,1.5,1.0,0.25,0.0,0.0,581,-0.07967142904882847,-1.2307345498934443,0.855889357213616,0.49569707401032703,-0.7477742170625706,0.0
3,S1 opening drive,3.0,1.5,1.0,0.25,1.0,1.0,582,-0.07795987362314545,-1.1821927956072833,0.8587425289008259,0.4965635738831615,-0.7214113221908086,0.0
3,S1 opening drive,3.0,2.0,0.0,0.0,0.0,0.0,559,-0.0931112397800783,-1.367501372806884,0.8717979000235211,0.3363148479427549,-0.6333918128970288,0.008944543828264758
