tf,geom,feature,n_res,kept,keep_frac,base,filt,edge,p,binary,bh
60,V38  70/30 2.5N no-tp,ctx.excess,574,287,0.5,0.05363951908945588,0.07635647221284671,0.02271695312339083,0.3016666666666667,False,False
60,V54  20/20 2.0N no-tp,div.exhausted_buyers_k5_w20,1410,160,0.11347517730496454,0.026027206181531964,0.06502370342210706,0.03899649724057509,0.3016666666666667,True,False
60,V54  20/20 2.0N no-tp,cvd.slope20,1410,705,0.5,0.026027206181531964,0.03665878219392428,0.010631576012392317,0.30333333333333334,False,False
60,V38  70/30 2.5N no-tp,div.exhausted_buyers_k5_w30,574,165,0.2874564459930314,0.05363951908945588,0.09196712789699482,0.038327608807538945,0.31333333333333335,True,False
60,V54  20/20 2.0N no-tp,div.absorbed_buying_k5_w30,1410,435,0.30851063829787234,0.026027206181531964,0.04111662765840382,0.015089421476871857,0.31333333333333335,True,False
60,V54  20/20 2.0N no-tp,ctx.excess,1410,705,0.5,0.026027206181531964,0.038532172981901314,0.01250496680036935,0.315,False,False
60,V54  20/20 2.0N no-tp,div.exhausted_sellers_k3_w30,1410,553,0.3921985815602837,0.026027206181531964,0.04135749981640614,0.01533029363487418,0.31666666666666665,True,False
60,V54  20/20 2.0N no-tp,div.exhausted_buyers_k5_w10,1410,60,0.0425531914893617,0.026027206181531964,0.08459484147474199,0.05856763529321002,0.32,True,False
240,V38  70/30 2.5N no-tp,div.absorbed_selling_k5_w30,146,61,0.4178082191780822,0.23178743204105454,0.3347871894354313,0.10299975739437675,0.3283333333333333,True,False
60,V54  20/20 2.0N no-tp,div.absorbed_selling_k3_w20,1410,476,0.3375886524822695,0.026027206181531964,0.043078629634515676,0.017051423452983713,0.33,True,False
60,V38  70/30 2.5N no-tp,eff.px_per_delta20,574,287,0.5,0.05363951908945588,0.0707056626252196,0.017066143535763724,0.34,False,False
240,V54  20/20 2.0N no-tp,cvd.rank100,337,169,0.5014836795252225,0.07776717706941835,0.1186485054676804,0.04088132839826204,0.3416666666666667,False,False
240,V38  70/30 2.5N no-tp,cvd.slope50,146,73,0.5,0.23178743204105454,0.29757480530044567,0.06578737325939113,0.35,False,False
60,V54  20/20 2.0N no-tp,div.exhausted_sellers_k5_w30,1410,373,0.2645390070921986,0.026027206181531964,0.04132679226993277,0.015299586088400808,0.3566666666666667,True,False
60,V54  20/20 2.0N no-tp,eff.delta_share20,1410,705,0.5,0.026027206181531964,0.03665878219392428,0.010631576012392317,0.35833333333333334,False,False
60,V38  70/30 2.5N no-tp,div.exhausted_buyers_k2_w10,574,103,0.1794425087108014,0.05363951908945588,0.08797782621495635,0.03433830712550048,0.36666666666666664,True,False
240,V54  20/20 2.0N no-tp,div.exhausted_buyers_k3_w10,337,40,0.11869436201780416,0.07776717706941835,0.15267319628221826,0.0749060192127999,0.36833333333333335,True,False
240,V54  20/20 2.0N no-tp,cvd.z50,337,169,0.5014836795252225,0.07776717706941835,0.11808016586114835,0.040312988791729995,0.37333333333333335,False,False
240,V38  70/30 2.5N no-tp,flow.delta_z50,146,73,0.5,0.23178743204105454,0.2928413084927099,0.06105387645165536,0.38333333333333336,False,False
60,V54  20/20 2.0N no-tp,cvd.slope10,1410,705,0.5,0.026027206181531964,0.03409897360519234,0.008071767423660375,0.38333333333333336,False,False
60,V38  70/30 2.5N no-tp,div.exhausted_sellers_k3_w30,574,206,0.3588850174216028,0.05363951908945588,0.07317494624705903,0.019535427157603154,0.385,True,False
60,V54  20/20 2.0N no-tp,div.exhausted_sellers_k5_w20,1410,289,0.2049645390070922,0.026027206181531964,0.03514449791867895,0.009117291737146985,0.385,True,False
240,V38  70/30 2.5N no-tp,eff.px_per_delta20,146,73,0.5,0.23178743204105454,0.2942401169045541,0.06245268486349956,0.38666666666666666,False,False
240,V54  20/20 2.0N no-tp,div.exhausted_sellers_k2_w20,337,137,0.4065281899109792,0.07776717706941835,0.10487262630322555,0.0271054492338072,0.4,True,False
240,V38  70/30 2.5N no-tp,div.absorbed_selling_k3_w30,146,68,0.4657534246575342,0.23178743204105454,0.28839028723544846,0.056602855194393925,0.4,True,False
240,V38  70/30 2.5N no-tp,eff.delta_share50,146,73,0.5,0.23178743204105454,0.29757480530044567,0.06578737325939113,0.4066666666666667,False,False
240,V54  20/20 2.0N no-tp,div.exhausted_sellers_k3_w10,337,75,0.22255192878338279,0.07776717706941835,0.1226505869243734,0.04488340985495505,0.41,True,False
60,V38  70/30 2.5N no-tp,cvd.slope10,574,287,0.5,0.05363951908945588,0.05692597877472458,0.0032864596852687014,0.44,False,False
60,V54  20/20 2.0N no-tp,div.exhausted_buyers_k2_w20,1410,380,0.2695035460992908,0.026027206181531964,0.027571665950945037,0.001544459769413073,0.4683333333333333,True,False
240,V38  70/30 2.5N no-tp,flow.delta_pos,146,116,0.7945205479452054,0.23178743204105454,0.24864718347876036,0.016859751437705822,0.47833333333333333,True,False
60,V54  20/20 2.0N no-tp,eff.px_per_delta50,1410,705,0.5,0.026027206181531964,0.027778901584515216,0.001751695402983252,0.47833333333333333,False,False
240,V38  70/30 2.5N no-tp,div.exhausted_sellers_k2_w10,146,32,0.2191780821917808,0.23178743204105454,0.2432105173165479,0.01142308527549335,0.4866666666666667,True,False
240,V38  70/30 2.5N no-tp,div.absorbed_buying_k2_w20,146,70,0.4794520547945205,0.23178743204105454,0.2482637446581147,0.016476312617060174,0.49666666666666665,True,False
60,V38  70/30 2.5N no-tp,div.absorbed_buying_k3_w10,574,72,0.1254355400696864,0.05363951908945588,0.05391093018111803,0.0002714110916621562,0.505,True,False
240,V38  70/30 2.5N no-tp,ctx.atr_rank250,146,73,0.5,0.23178743204105454,0.2364134064013467,0.004625974360292162,0.505,False,False
240,V38  70/30 2.5N no-tp,div.exhausted_sellers_k5_w30,146,49,0.3356164383561644,0.23178743204105454,0.20729085188232205,-0.02449658015873249,0.5133333333333333,True,False
60,V54  20/20 2.0N no-tp,div.exhausted_buyers_k2_w10,1410,247,0.175177304964539,0.026027206181531964,0.025770389090746932,-0.00025681709078503173,0.5216666666666666,True,False
