n,win,pf,R,pts,sharpe,stop_share,flat_share,chan_share,tgt_share,level,side,window,flat,N,adx,gate,ema,atrx,stop,exN,tp
232,0.47844827586206895,0.9069946523068518,-0.029286250601501612,-0.3014975780050475,-0.3662198415060033,0.27586206896551724,0.45689655172413796,0.0,0.2672413793103448,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,0.0,1.1,2.5,20,1.0
207,0.463768115942029,0.911208697533698,-0.041466272257946156,-0.32487545974584725,-0.29800355839816495,0.19806763285024154,0.7391304347826086,0.06280193236714976,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,0.0,1.1,3.5,10,0.0
218,0.481651376146789,0.9716960612785859,-0.023281792749441168,-0.0956363743655965,-0.09698286056673495,0.16972477064220184,0.6146788990825688,0.05963302752293578,0.1559633027522936,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,0.0,1.1,3.5,10,1.0
207,0.463768115942029,0.9042021851885553,-0.04430497594133,-0.35322740226734417,-0.32235082109832375,0.21739130434782608,0.7681159420289855,0.014492753623188406,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,0.0,1.1,3.5,20,0.0
218,0.481651376146789,0.9640152981932764,-0.02597725909100289,-0.12255771428279774,-0.1235794479989094,0.18807339449541285,0.6422018348623854,0.013761467889908258,0.1559633027522936,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,0.0,1.1,3.5,20,1.0
209,0.3827751196172249,0.978331129078922,-0.01968670637710248,-0.0643314854414853,-0.07156112000988687,0.49760765550239233,0.49760765550239233,0.004784688995215311,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,2.0,0.0,1.5,10,0.0
247,0.4979757085020243,0.9067308528779425,-0.034123557275307026,-0.2325059951918896,-0.4160161133309907,0.3805668016194332,0.22267206477732793,0.0,0.3967611336032389,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,2.0,0.0,1.5,10,1.0
209,0.3827751196172249,0.9809713435605536,-0.017898283692169684,-0.056341054819476474,-0.06269502895842723,0.49760765550239233,0.5023923444976076,0.0,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,2.0,0.0,1.5,20,0.0
247,0.4979757085020243,0.9067308528779425,-0.034123557275307026,-0.2325059951918896,-0.4160161133309907,0.3805668016194332,0.22267206477732793,0.0,0.3967611336032389,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,2.0,0.0,1.5,20,1.0
199,0.4321608040201005,0.9286299390927997,-0.0452962794457795,-0.2540852977530798,-0.24108300984816197,0.34673366834170855,0.6331658291457286,0.020100502512562814,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,2.0,0.0,2.5,10,0.0
223,0.47533632286995514,0.9324560707783713,-0.026400950370130575,-0.22051931237629227,-0.2603803979806443,0.2825112107623318,0.4080717488789238,0.017937219730941704,0.2914798206278027,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,2.0,0.0,2.5,10,1.0
199,0.4321608040201005,0.9294288898383437,-0.04444121247807259,-0.25102497446414646,-0.2379922349448496,0.35175879396984927,0.6482412060301508,0.0,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,2.0,0.0,2.5,20,0.0
223,0.47533632286995514,0.9332367039885582,-0.02563790854693026,-0.2177883512350468,-0.25690681571052193,0.28699551569506726,0.42152466367713004,0.0,0.2914798206278027,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,2.0,0.0,2.5,20,1.0
