n,win,pf,R,pts,sharpe,stop_share,flat_share,chan_share,tgt_share,side,N,adx,gate,stop,exN,tp
252,0.47619047619047616,1.111362154759064,0.08071545888626865,4.421709166258752,0.45221762664535103,0.39285714285714285,0.5912698412698413,0.015873015873015872,0.0,1,55,0,False,2.5,20,0.0
308,0.577922077922078,0.9763437613556566,0.019645280866628527,-0.7714757637488187,-0.11575398592133926,0.3116883116883117,0.20454545454545456,0.006493506493506494,0.4772727272727273,1,55,0,False,2.5,20,0.75
291,0.5498281786941581,1.0795997900476613,0.06316955261601527,2.740546868760677,0.36396034016761397,0.3333333333333333,0.27491408934707906,0.010309278350515464,0.38144329896907214,1,55,0,False,2.5,20,1.0
182,0.4010989010989011,1.2655788938716648,0.1768305477273516,7.922836706126556,0.8279772501384832,0.521978021978022,0.4010989010989011,0.07692307692307693,0.0,1,55,0,True,1.5,10,0.0
230,0.591304347826087,1.0243688350305,0.02212173157498526,0.5225027795581864,0.10665549033255783,0.3739130434782609,0.043478260869565216,0.013043478260869565,0.5695652173913044,1,55,0,True,1.5,10,0.75
220,0.5454545454545454,1.1220904721066574,0.06336809663755512,2.8526137003908323,0.5026655984660131,0.41363636363636364,0.07727272727272727,0.013636363636363636,0.4954545454545455,1,55,0,True,1.5,10,1.0
182,0.4010989010989011,1.2626210979459456,0.19051785542176164,8.070377157846963,0.8252903754000119,0.5604395604395604,0.4340659340659341,0.005494505494505495,0.0,1,55,0,True,1.5,20,0.0
230,0.591304347826087,1.0226460107721067,0.02141929747207115,0.48638097097480165,0.09901150503252393,0.3826086956521739,0.04782608695652174,0.0,0.5695652173913044,1,55,0,True,1.5,20,0.75
220,0.5454545454545454,1.1203738487820898,0.06258744889509142,2.816814507399825,0.4950241602084986,0.42272727272727273,0.08181818181818182,0.0,0.4954545454545455,1,55,0,True,1.5,20,1.0
169,0.4911242603550296,1.2940523460538667,0.12728183503735124,10.127686494029499,0.8973336257308981,0.3136094674556213,0.5325443786982249,0.15384615384615385,0.0,1,55,0,True,2.5,10,0.0
203,0.5763546798029556,1.0604397616101875,0.03456000357237706,1.7785908291836683,0.23450472582042864,0.2561576354679803,0.1921182266009852,0.08866995073891626,0.4630541871921182,1,55,0,True,2.5,10,0.75
194,0.5463917525773195,1.1760042886388387,0.07536970006530941,5.375348938079619,0.6303408131344274,0.27319587628865977,0.25773195876288657,0.0979381443298969,0.3711340206185567,1,55,0,True,2.5,10,1.0
169,0.4970414201183432,1.2423974574332688,0.11973685000355495,9.089415291604091,0.7689422692563703,0.3905325443786982,0.5857988165680473,0.023668639053254437,0.0,1,55,0,True,2.5,20,0.0
203,0.5862068965517241,1.041503126239567,0.030859922158619244,1.2851694585446891,0.16222037335587833,0.3103448275862069,0.2019704433497537,0.009852216748768473,0.47783251231527096,1,55,0,True,2.5,20,0.75
194,0.5567010309278351,1.1610870820529915,0.07366672134145649,5.188747239568486,0.5815014628564845,0.32989690721649484,0.26804123711340205,0.015463917525773196,0.3865979381443299,1,55,0,True,2.5,20,1.0
219,0.3835616438356164,1.1573594743590154,0.10564628566631182,4.899225316131333,0.5608800331477709,0.5296803652968036,0.3698630136986301,0.1004566210045662,0.0,1,55,20,False,1.5,10,0.0
